class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
432,0.2,0.2,Not-for-profit bowling alley,0,0,0,532,Bowling,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,32,0
433,0.2,0.2,Not-for-profit quonset hut or butler type building,0,0,0,533,Quonset hut,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,33,0
435,0.2,0.2,Not-for-profit golf course improvement,1,0,0,535,Golf Course,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,35,
480,0.2,0.2,Not-for-profit industrial minor improvement,1,0,0,580,Ind. Minor Imp.,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,80,0
481,0.2,0.2,Not-for-profit garage used in conjunction with industrial improvement,1,0,0,581,Garage,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,81,0
483,0.2,0.2,Not-for-profit industrial quonset hut or butler type building,0,0,0,583,Quonset hut,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,83,
487,0.2,0.2,Not-for-profit special industrial improvement,1,0,0,587,Ind. Improvement,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,87,0
489,0.2,0.2,Not-for-profit industrial condominium,0,0,0,589,Ind. Condo,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,89,
490,0.2,0.2,Not-for-profit commercial minor improvement,1,0,0,590,Com. Improvement,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,90,
491,0.2,0.2,Not-for-profit improvement over three stories,1,0,0,591,Commercial(3+),Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,91,
492,0.2,0.2,Not-for-profit two-or-three story building containing part or all retail and/or commercial space,0,0,0,592,Commercial(2-3),Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,92,
493,0.2,0.2,Not-for-profit industrial building,0,0,0,593,Industrial,Industrial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,93,
496,0.2,0.2,"Not-for-profit rented modern row houses, seven or more units in a single development",0,0,0,396,Multi-Family,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,96,0
497,0.2,0.2,Not-for-profit special structure,0,0,0,597,Special Commercial,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,97,
499,0.2,0.2,Not-for-profit condominium,0,0,0,599,Com. Condo,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,99,
500,0.25,0.25,Commercial land,0,0,1,500,Commercial,Commercial,Non-Incentive,Land,NonRes,5,5A,Commercial,25%,0,
501,0.25,0.25,"Ancillary structures used in conjunction with commercial improvements (garage, mechanical structures, storage sheds, etc.)",0,0,1,501,Golf Course,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,1,
