class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
528,Bank building,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
529,Motel,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
530,Supermarket,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
531,Shopping center,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
532,Bowling alley,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
533,Quonset hut or butler type building,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
535,Golf course improvement,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
550,Industrial land,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
580,Industrial minor improvement,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
581,Garage used in conjunction with industrial improvement,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
583,Industrial quonset hut or butler type building,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
587,Special industrial improvement,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
589,Industrial condominium unit,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
590,Commercial minor improvement,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
591,Commercial building over three stories,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
592,Two-or-three-story building containing part or all retail and/or commercial space,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
593,Industrial building,Industrial,,NonRes,5,5B,Industrial,25%,non-incentive,Industrial,Industrial
597,Special commercial structure,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
599,Commercial condominium unit,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
637,Industrial Brownfield land,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
638,Industrial Brownfield,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
650,Industrial land,Industrial,Land,NonRes,6,6A,Industrial Incentive,13,Incentive Classes,Incentive Class,Industrial
651,Industrial land,Industrial,Land,NonRes,6,6B,Industrial Incentive,12 year reduction,Incentive Classes,Incentive Class,Industrial
654,Other industrial Brownfield minor improvements,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
655,Garage used in conjunction with industrial Brownfield incentive improvement,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
663,Industrial building,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
666,Industrial Brownfield quonset hut or butler type building,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
668,Special industrial Brownfield improvement,Industrial,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
669,Industrial Brownfield condominium unit,Industrial,Remediation incentive,NonRes,6,6C,Industrial Brownfield,,Incentive Classes,Incentive Class,Industrial
