major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,16016,17328.16,0,0,17328.16,17328.16,0,0,0,0
1,Vacant,16017,258034.22,0,0,258034.22,258034.22,0,0,0,0
1,Vacant,16021,8193.66,0,0,8193.66,8193.66,0,0,0,0
1,Vacant,16035,269577.13,0,0,269577.13,269577.13,0,0,0,0
1,Vacant,16041,49478.79,0,0,49478.79,49478.79,0,0,0,0
1,Vacant,16042,47340.5,0,0,47340.5,47340.5,0,0,0,0
1,Vacant,16048,233148.6,0,0,233148.6,233148.6,0,0,0,0
1,Vacant,16053,141067.11000000002,0,0,141067.11000000002,141067.11000000002,0,0,0,0
1,Vacant,16071,12403.15,0,0,12403.15,12403.15,0,0,0,0
1,Vacant,16072,16.99,0,0,16.99,16.99,0,0,0,0
1,Vacant,16081,99355.98,0,0,99355.98,99355.98,0,0,0,0
1,Vacant,16089,65942.45,0,0,65942.45,65942.45,0,0,0,0
1,Vacant,16109,6671.16,0,0,6671.16,6671.16,0,0,0,0
1,Vacant,16115,2024.54,13902.07,0,15926.61,15926.61,0,0,0,0.872882196253
1,Vacant,16118,7899.67,0,0,7899.67,7899.67,0,0,0,0
1,Vacant,16120,4883.73,0,0,4883.73,4883.73,0,0,0,0
1,Vacant,16123,7884.07,0,0,7884.07,7884.07,0,0,0,0
1,Vacant,16136,76166.15,6343.4,0,82509.55,82509.55,0,0,0,0.07688073257400001
1,Vacant,16137,16440.41,2842.41,0,19282.82,19282.82,0,0,0,0.147406076496
1,Vacant,16139,954.73,2644.98,0,3599.71,3599.71,0,0,0,0.7347762343390001
1,Vacant,16140,63755.37,21944.34,0,85699.71,85699.71,0,0,0,0.256061724994
1,Vacant,16141,2131.21,483.17,0,2614.38,2614.38,0,0,0,0.18481521275399998
1,Vacant,16143,11994.7,389379.56,0,401374.26,401374.26,0,0,0,0.970115853708
1,Vacant,16155,18795.77,6165.89,0,24961.66,24961.66,0,0,0,0.247015049745
1,Vacant,16156,24780.879999999997,0,0,24780.879999999997,24780.879999999997,0,0,0,0
