major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,15008,117585.95999999999,61079.670000000006,0,178665.63,178665.63,0,0,0,0.34186565723400003
1,Vacant,15009,470.27,3670.75,0,4141.0199999999995,4141.0199999999995,0,0,0,0.886431295721
1,Vacant,15010,0,21917.37,0,21917.37,21917.37,0,0,0,1
1,Vacant,16006,31584.719999999998,0,0,31584.719999999998,31584.719999999998,0,0,0,0
1,Vacant,16012,3761.88,0,0,3761.88,3761.88,0,0,0,0
1,Vacant,16013,4153.23,0,0,4153.23,4153.23,0,0,0,0
1,Vacant,16016,18075.06,0,0,18075.06,18075.06,0,0,0,0
1,Vacant,16017,259378.28,0,0,259378.28,259378.28,0,0,0,0
1,Vacant,16021,8197.71,0,0,8197.71,8197.71,0,0,0,0
1,Vacant,16035,275678.79,0,0,275678.79,275678.79,0,0,0,0
1,Vacant,16041,49478.79,0,0,49478.79,49478.79,0,0,0,0
1,Vacant,16042,47917.39,0,0,47917.39,47917.39,0,0,0,0
1,Vacant,16048,235820.08000000002,0,0,235820.08000000002,235820.08000000002,0,0,0,0
1,Vacant,16053,142137.87,0,0,142137.87,142137.87,0,0,0,0
1,Vacant,16071,12403.15,0,0,12403.15,12403.15,0,0,0,0
1,Vacant,16072,17,0,0,17,17,0,0,0,0
1,Vacant,16081,99426.45,0,0,99426.45,99426.45,0,0,0,0
1,Vacant,16089,65942.45,0,0,65942.45,65942.45,0,0,0,0
1,Vacant,16109,6671.16,0,0,6671.16,6671.16,0,0,0,0
1,Vacant,16115,2024.54,13902.07,0,15926.61,15926.61,0,0,0,0.872882196253
1,Vacant,16118,7899.67,0,0,7899.67,7899.67,0,0,0,0
1,Vacant,16120,4883.73,0,0,4883.73,4883.73,0,0,0,0
1,Vacant,16123,7884.07,0,0,7884.07,7884.07,0,0,0,0
1,Vacant,16136,76166.15,6343.4,0,82509.55,82509.55,0,0,0,0.07688073257400001
1,Vacant,16137,16440.41,2842.41,0,19282.82,19282.82,0,0,0,0.147406076496
1,Vacant,16139,954.73,2644.98,0,3599.71,3599.71,0,0,0,0.7347762343390001
1,Vacant,16140,63757.45,21945.079999999998,0,85702.53,85702.53,0,0,0,0.256061724994
1,Vacant,16141,2131.21,483.17,0,2614.38,2614.38,0,0,0,0.18481521275399998
1,Vacant,16143,11994.7,389379.56,0,401374.26,401374.26,0,0,0,0.970115853708
1,Vacant,16155,18795.77,6165.89,0,24961.66,24961.66,0,0,0,0.247015049745
1,Vacant,16156,24780.879999999997,0,0,24780.879999999997,24780.879999999997,0,0,0,0
1,Vacant,17001,137482.8,0,0,137482.8,137482.8,0,0,0,0
1,Vacant,17002,21161.19,0,0,21161.19,21161.19,0,0,0,0
1,Vacant,17004,138.02,0,0,138.02,138.02,0,0,0,0
1,Vacant,17007,94389.24,0,0,94389.24,94389.24,0,0,0,0
1,Vacant,17022,5206.719999999999,0,0,5206.719999999999,5206.719999999999,0,0,0,0
