major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,rev_perTC
1,Vacant,12245,73128.18000000001,3929.14,0,77057.32,77057.32,0.0233249991285991,0,0,0,0.050989560233000004,77057.30682120861
1,Vacant,12246,160404.07,42382.52,0,202786.59,202786.59,0.025119229830799027,0,0,0,0.209000542281,202786.56277407715
1,Vacant,12248,11275.97,2814.06,0,14090.029999999999,14090.029999999999,0.02644999900688695,0,0,0,0.19972136413299998,14090.020270964706
1,Vacant,12249,343.06,352.43,0,695.49,695.49,0.012720665942853595,0,0,0,0.506721536351,695.5024104255203
1,Vacant,12251,22435.39,36790.46,0,59225.85,59225.85,0.024415383698664875,0,0,0,0.621189214729,59225.88557625701
1,Vacant,13013,9903.75,0,0,9903.75,9903.75,0.010744999237703839,0,0,0,0,9903.70877738858
1,Vacant,13019,3061.24,0,0,3061.24,3061.24,0.008494614863536266,0,0,0,0,3061.2298422171552
1,Vacant,13022,2367.92,0,0,2367.92,2367.92,0.01668999909427367,0,0,0,0,2367.9103114991713
1,Vacant,13025,3005.08,0,0,3005.08,3005.08,0.016220713452171513,0,0,0,0,3005.0818155761986
1,Vacant,13027,43748.61,0,0,43748.61,43748.61,0.009776427825667997,0,0,0,0,43748.43911280346
1,Vacant,13028,4856.2300000000005,0,0,4856.2300000000005,4856.2300000000005,0.008526922696041848,0,0,0,0,4856.227433081665
1,Vacant,13029,383754.81,0,0,383754.81,383754.81,0.010527854663731665,0,0,0,0,383746.2823144682
1,Vacant,13030,57766.3,0,0,57766.3,57766.3,0.010510711926112299,0,0,0,0,57767.251131542536
1,Vacant,13031,27348.51,0,0,27348.51,27348.51,0.009677140689130014,0,0,0,0,27348.93503289652
1,Vacant,13032,2893.82,0,0,2893.82,2893.82,0.011146153465196113,0,0,0,0,2893.7978010946103
1,Vacant,13033,28013.44,0,0,28013.44,28013.44,0.007661537835229925,0,0,0,0,28013.493709977993
1,Vacant,13034,107855.28,0,0,107855.28,107855.28,0.007643076425485992,0,0,0,0,107855.27297824559
1,Vacant,13035,11088.87,0,0,11088.87,11088.87,0.008709230269708977,0,0,0,0,11088.87938399237
1,Vacant,13036,109533.83,0,0,109533.83,109533.83,0.010744999237703839,0,0,0,0,109533.79156920477
1,Vacant,13037,21253.01,0,0,21253.01,21253.01,0.008342307312882775,0,0,0,0,21253.053983368354
1,Vacant,13038,166842.52,0,0,166842.52,166842.52,0.016344999265756957,0,0,0,0,166844.06444510256
1,Vacant,13039,143617.9,0,0,143617.9,143617.9,0.010028571251435053,0,0,0,0,143617.96546325122
1,Vacant,13041,7607.61,0,0,7607.61,7607.61,0.016854284822011078,0,0,0,0,7607.585957250429
1,Vacant,13042,287282.95,0,0,287282.95,287282.95,0.016871427559630444,0,0,0,0,287282.9567713241
1,Vacant,13043,643742.38,0,0,643742.38,643742.38,0.01882785610693132,0,0,0,0,643742.3620707077
1,Vacant,13044,0.43,0,0,0.43,0.43,0.01072071350983012,0,0,0,0,0.450269967412865
1,Vacant,13049,60049.82,0,0,60049.82,60049.82,0.017882141808699636,0,0,0,0,60049.94887922701
1,Vacant,13050,113159.95,0,0,113159.95,113159.95,0.016831427571365697,0,0,0,0,113159.97663644128
1,Vacant,13051,10215.07,0,0,10215.07,10215.07,0.011315713924813996,0,0,0,0,10215.07969420304
1,Vacant,13052,19380.87,0,0,19380.87,19380.87,0.011478571094075306,0,0,0,0,19380.9015352227
1,Vacant,13055,18539.7,0,0,18539.7,18539.7,0.009003571143631598,0,0,0,0,18539.68551326672
1,Vacant,13056,143219.86,0,0,143219.86,143219.86,0.010807856680642384,0,0,0,0,143219.75079498516
1,Vacant,13058,36564.69,0,0,36564.69,36564.69,0.017759999255764675,0,0,0,0,36564.694947751195
1,Vacant,13059,1146.14,0,0,1146.14,1146.14,0.009154285353048842,0,0,0,0,1146.134834772421
1,Vacant,13062,212602.99,0,0,212602.99,212602.99,0.016872142086745676,0,0,0,0,212602.9266823592
