tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
37047,3,Multi-Family,2389369,0,0,0,0,0,0,0,0,34
37047,5A,Commercial,16961084,0,0,0,0,0,0,0,0,289
37047,5B,Industrial,12680620,0,0,0,0,0,0,0,0,101
37047,6B,Industrial Incentive,2929337,0,0,0,0,0,0,0,0,10
37047,8,Commercial/Industrial Incentive,2979299,0,0,0,0,0,0,0,0,36
37047,9,Multi-Family Incentive,505103,0,0,0,0,0,0,0,0,2
37047,NA,NA,0,0,0,0,0,0,0,0,0,461
37048,1,Vacant,99324,0,0,0,0,0,0,0,0,18
37048,2,Residential,2229576,1049678,82182,53123,0,5909,0,2500,0,173
37048,5A,Commercial,59868,0,0,0,0,0,0,0,0,2
37048,NA,NA,0,0,0,0,0,0,0,0,0,47
37050,1,Vacant,1579841,0,0,0,0,0,0,0,0,126
37050,2,Residential,2547076,909976,89015,53598,0,6000,0,0,0,207
37050,5A,Commercial,7957478,0,0,0,0,0,0,0,0,58
37050,5B,Industrial,10448789,0,0,0,0,0,0,0,0,29
37050,6B,Industrial Incentive,2482707,0,0,0,0,0,0,0,0,8
37050,8,Commercial/Industrial Incentive,5508997,0,0,0,0,0,0,0,0,10
37050,NA,NA,0,0,0,0,0,0,0,0,0,17
37051,1,Vacant,1170868,0,0,0,0,0,0,0,0,194
37051,2,Residential,10828852,4068947,600513,282008,0,20000,0,0,0,748
37051,3,Multi-Family,119047,0,0,0,0,0,0,0,0,3
37051,5A,Commercial,8186035,0,0,0,0,0,0,0,0,118
37051,5B,Industrial,1838796,0,0,0,0,0,0,0,0,8
37051,8,Commercial/Industrial Incentive,1782372,0,0,0,0,0,0,0,0,24
37051,NA,NA,0,0,0,0,0,0,0,0,0,60
37053,1,Vacant,935032,0,0,0,0,0,0,0,0,266
37053,2,Residential,10429103,3819316,232197,422830,0,29221,0,1047,0,983
37053,3,Multi-Family,116252,0,0,0,0,0,0,0,0,4
37053,5A,Commercial,1048267,0,0,0,0,0,0,0,0,24
37053,5B,Industrial,111250,0,0,0,0,0,0,0,0,2
37053,8,Commercial/Industrial Incentive,217873,0,0,0,0,0,0,0,0,7
37053,NA,NA,0,0,0,0,0,0,0,0,0,376
37054,1,Vacant,307111,0,0,0,0,0,0,825,0,78
37054,2,Residential,7000123,2563106,359594,212470,0,24000,0,5320,0,493
37054,5A,Commercial,851446,0,0,0,0,0,0,0,0,15
37054,8,Commercial/Industrial Incentive,750675,0,0,0,0,0,0,0,0,1
37054,NA,NA,0,0,0,0,0,0,0,0,0,59
37055,1,Vacant,300256,0,0,0,0,0,0,0,0,92
