year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2022,7602748 - LAKESIDE BANK,0,5,0,76083,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,"528, 590",0,1163080,0,0,-1163080,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,7710121 - PILSEN LV CMHC INC,0,5,0,77016,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"100, 590, 597",0,3317052,0,0,-3317052,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7721757 - PAWS CHICAGO,0,5,0,77024.6,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"590, 592",0,1521160,0,0,-1521160,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,918610 - GOES LITHOGRAPH CO,0,5,0,72210,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,"580, 593",0,549608,0,0,-549608,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,924461 - Y & H RELLC,0,5,0,37045,0,0,Exempt,Non-Incentive,South,0,Dixmoor,Changes Land Use,Never Incentive,Changes,"522, 590",0,211020,0,0,-211020,Changes,Multi Land Uses,Changes,Never Incentive,0
2022,1111594 - MACNEAL HOSP.FIANCE,0,4,0,11032,1,0,Exempt,Non-Incentive,South,0,Berwyn,Changes Land Use,Never Incentive,Changes,592,0,1041972,0,0,-1041972,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,"1201020 - FOUNDERS BK TN 5157, J",0,4,0,12198,1,0,Exempt,Non-Incentive,South,0,Chicago Heights,Changes Land Use,Never Incentive,Always TIF,"590, 592",0,463200,0,0,-463200,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1212551 - 1ST CHICAGO BLDG CORP,0,4,0,12030,0,0,Exempt,Non-Incentive,South,0,Lansing,Changes Land Use,Never Incentive,Never TIF,"528, 590",0,714612,0,0,-714612,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,1213996 - JEFFEREY FERNANDEZ,0,4,0,12198,1,0,Exempt,Non-Incentive,South,0,Chicago Heights,Changes Land Use,Never Incentive,Always TIF,522,0,323324,0,0,-323324,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1301217 - TINLEY PARK CONDO ASSO,0,4,0,13208,1,0,Exempt,Non-Incentive,South,0,Tinley Park,Changes Land Use,Never Incentive,Always TIF,599,0,455480,0,0,-455480,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1711081 - NOMAD DREAM,0,4,0,17051,1,0,Exempt,Non-Incentive,North,0,Evanston,Changes Land Use,Never Incentive,Always TIF,"590, 592",0,579876,0,0,-579876,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,2002285 - GOTTLIEB COM HEALTH SV,0,4,0,20262,1,0,Exempt,Non-Incentive,North,0,Elmwood Park,Changes Land Use,Never Incentive,Changes,"590, 592",0,369336,0,0,-369336,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,2015588 - GENE & GEORGETTI - ROS,0,4,0,20229,1,0,Exempt,Non-Incentive,North,0,Rosemont,Changes Land Use,Never Incentive,Always TIF,"0, 592",0,2599708,0,0,-2599708,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,2113231 - DIMITRI MIRKOULIS,0,4,0,21088,0,0,Exempt,Non-Incentive,South,0,Countryside,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,2022688,0,0,-2022688,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,2214837 - STEVEN P COTSIRILOS,0,4,0,22258,1,0,Exempt,Non-Incentive,North,0,Rosemont,Changes Land Use,Never Incentive,Changes,593,0,808264,0,0,-808264,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,2412257 - W W GRAINGER,0,4,0,24127.25,1,0,Exempt,Non-Incentive,North,0,Niles,Changes Land Use,Never Incentive,Changes,"590, 597",0,6557956,0,0,-6557956,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,2502298 - DOMINICK'S FINER FOODS,0,4,0,25038,0,0,Exempt,Non-Incentive,North,0,Glenview,Changes Land Use,Never Incentive,Never TIF,"530, 590",0,1034540,0,0,-1034540,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,252198 - YASSIN AYYAD,0,4,0,72065,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,417,0,399984,0,0,-399984,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3000534 - MOSQUE FOUNDDATION,0,4,0,30022,0,0,Exempt,Non-Incentive,South,0,Bridgeview,Changes Land Use,Never Incentive,Never TIF,"590, 597",0,1120464,0,0,-1120464,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3600545 - VILLAGE OF BRIDGEVIEW,0,4,0,36008,0,0,Exempt,Non-Incentive,South,0,Bridgeview,Changes Land Use,Never Incentive,Changes,590,0,834000,0,0,-834000,Changes,Multi Land Uses,Changes,Never Incentive,0
2022,7002992 - GICELE WRAY,0,4,0,70106,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,517,0,629952,0,0,-629952,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7003144 - GUS CHRISTOPOULOS,0,4,0,70002,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,279160,0,0,-279160,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7017061 - CARMEUSE LIME INC,0,4,0,70078,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,593,0,2290788,0,0,-2290788,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7116426 - 2605 HARLEM LLC,0,4,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,590,0,181596,0,0,-181596,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7118942 - ANTHEM CHURCH PROPERTI,0,4,0,71128,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,1326144,0,0,-1326144,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7128611 - PETER KU,0,4,0,71128,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"517, 526",0,444224,0,0,-444224,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7205338 - LITTLE CO. OF MARY AFF,0,4,0,72171,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"517, 590",0,465140,0,0,-465140,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7222878 - NEW HOPE FOR LIFE MM,0,4,0,72003,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7601907 - 55 W WACKER OWNRS ASSO,0,4,0,76015,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,597,0,532376,0,0,-532376,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,"7601970 - 3500 SOUTH GILES, LLC",0,4,0,76088,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"590, 597",0,6794732,0,0,-6794732,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7707733 - OGDEN DEVELOPMENT LLC,0,4,0,77125,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,590,0,123512,0,0,-123512,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7723092 - ST MARK INTL CHRSTN CH,0,4,0,77001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,921574 - OLDE PRAIRIE AVE LLC,0,4,0,76085,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,"590, 593",0,2277656,0,0,-2277656,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,"924058 - MB FINANCIAL BANK, N.A",0,4,0,37035,0,0,Exempt,Non-Incentive,South,0,Dolton,Changes Land Use,Never Incentive,Never TIF,"528, 590",0,451228,0,0,-451228,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,926135 - MICHAEL WOLDORF,0,4,0,77001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"590, 592",0,893996,0,0,-893996,Changes,Multi Land Uses,Never TIF,Never Incentive,0
