year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2011,7219062 - LOUIS BACON,0,1,0,72102,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,597,0,321252,NA,321252,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,"7219623 - CHURCH 103, LLC",0,4,0,72133,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"590, 597",0,735888,NA,735888,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7219668 - SAIPRAPTI LLC,0,4,0,72104,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,590,0,244564,NA,244564,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7219757 - BEVERLY UNITARIAN CHUR,0,2,0,72003,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,"590, 597",0,302712,NA,302712,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7219799 - CALUMET LAND PART ILL,0,2,0,72150,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,580,0,76112,NA,76112,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,7220221 - RAUL FERNANDEZ,0,1,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,648576,NA,648576,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7220780 - ADRIAN VALLADOLID,0,1,0,72067,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,303256,NA,303256,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7220965 - SH& ASSOCIATES INC,0,1,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,592,0,540000,NA,540000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7221449 - AIDA FOOD LIQUOR,0,1,0,72124,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,590,0,52908,NA,52908,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7222218 - DAVITA INC,0,5,0,72104,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"517, 590",0,833244,NA,833244,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7222284 - CHGO PATROLMANS C.U.,0,6,0,72003,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,"528, 590",0,1936280,NA,1936280,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7222878 - NEW HOPE FOR LIFE MM,0,4,0,72003,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7224746 - FELLOWSHIP MISS.BAPT.,0,1,0,72102,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7224812 - T63 DEVELOPMENT LLC,0,1,0,72021,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,100,0,27790,NA,27790,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7304370 - DAVID GASSMAN DLG,0,2,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,315,0,5409270,NA,5409270,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,"7310439 - TGS HOLDINGS, LLC",0,1,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,592,0,3744348,NA,3744348,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7311609 - STERLING BAY LLC,0,8,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,"590, 597",0,25021400,NA,25021400,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,"7312298 - ASHLAND ROSCOE 1241, L",0,1,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,405528,NA,405528,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7313994 - 1244 W. THORNDALE AVEN,0,2,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,597,0,2665904,NA,2665904,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7314963 - SUNNYSIDE COMMONS LLC,0,1,0,73073,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7315449 - HISPANIC HOUSING DEVEL,0,2,0,73061,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,2922568,NA,2922568,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7315900 - MISSIONARY SISTERS,0,6,0,73093.83333333333,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,391,0,45895600,NA,45895600,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,"7318041 - SAXONY MONTANA, LLC",0,1,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,212,0,755010,NA,755010,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7318653 - STERLING BAY LLC,0,5,0,73075,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,590,0,1060416,NA,1060416,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7318714 - 5691 RIDGE ACQUISITION,0,2,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,592,0,482828,NA,482828,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7319400 - CHICAGO WALDORF SCHOOL,0,1,0,73001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7319431 - MONTROSE CLRNDN PARTNR,0,1,0,73093,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,1437480,NA,1437480,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7319729 - 1225 W BELMONT AV LLC,0,3,0,73095,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,597,0,1408324,NA,1408324,Changes,Multi Land Uses,Changes,Never Incentive,0
