year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2016,Forest Park,5954,5301,82,280,287,3,0,3244,6920020,892000339,78542754,106572003,0,26032505,0,0,16332303,1024567300,871133090,42905180,108293960,302,38423012.01,12.781,302100995.0784668,10.653,12.784,4827.963,4670.874,347873171,302,3243,723,386,0,39,1,5,0,2.131,3.75,0.127,0.871,0.007,0.077,0.025,0.016,0
2016,Forestview,465,267,67,54,0,1,0,222,4881350,93048656,0,7550960,0,0,0,0,755096,100599632,34893720,46827682,18365580,58,7207259.36,15.068,51443345.64072118,11.743,17.174,5469.305,4256.295,53560040,58,222,64,35,0,3,0,0,0,5.431,7.164,0.14,0.925,0.049,0,0,0.008,0
2016,Frankfort,1,1,0,0,0,0,0,0,0,112200,0,0,0,0,0,0,20266,314860,314860,0,0,0,2762.11,8.782,31451.94716465498,8.782,8.782,2762.11,NA,31486,0,0,0,0,0,0,0,0,0,0,0.877,0.088,0.356,0,0,0,0.064,0
2016,Franklin Park,7872,6096,918,310,286,97,7,4786,245957150,1584518048,119621190,170278985,0,41543032,0,34498920,23585650,1796339870,1025554260,640875942,110383908,417,85153756.7,13.087,649904414.3240494,11.71,14.578,5458.326,4987.751,716019617,417,4784,1294,778,2,125,1,5,0,2.868,4.74,0.131,0.882,0.137,0.067,0.023,0.013,0.019
2016,Glencoe,3758,3454,0,63,0,0,0,2532,0,3291008349,0,86688296,0,0,0,0,8668830,3377696484,3310814360,0,52233524,204,78063275.73,8.269,944498612.0521494,7.77,8.39,18625.759,22689.418,968799059,204,2528,582,71,4,8,0,0,0,0.62,2.311,0.083,0.974,0,0,0,0.003,0
2016,Glenview,18010,16554,104,537,1663,8,1,12837,157483220,7666153025,1352469636,519175128,0,1236822251,0,6415260,215151069,9422023100,8203008550,203945434,964091566,408,188037252.06,7.61,2463023363.5563755,6.953,10.496,8614.348,9972.733,3066099349,408,12827,3930,1093,9,115,0,10,0,3.543,1.996,0.076,0.814,0.017,0.144,0.131,0.023,0.001
2016,Glenwood,3893,3408,37,77,361,11,9,2513,5798090,300712086,62117604,81146393,0,19218476,0,3293410,12578788,401378872,345218490,13294502,39224500,302,19218782.73,19.789,96913959.3128297,18.465,21.901,4472.833,4211.573,132060012,302,2512,741,395,0,70,0,13,0,3.436,4.788,0.198,0.749,0.014,0.155,0.048,0.031,0.008
2016,Golf,205,188,0,2,0,0,0,151,0,125073315,0,5107252,0,0,0,0,510725,130180594,124469610,0,5563004,13,3262000.36,8.722,37399683.100206375,8.722,8.722,10528.389,16747.022,38831354,13,151,40,4,0,0,0,0,0,0,2.506,0.087,0.961,0,0,0,0.004,0
2016,Hanover Park,5512,5170,0,127,268,1,1,3822,0,818692405,91776250,125116649,0,37708739,0,0,18121567,981455700,865994860,0,88331140,91,31745682.2,12.158,261814324.11164063,11.102,15.471,4991.693,4742.906,312589412,91,3821,746,393,0,62,0,4,0,4.369,3.235,0.121,0.834,0,0.094,0.038,0.018,0
2016,Harvey,14361,9612,270,863,1201,120,49,4594,55257810,540928109,98805344,131668190,0,29481484,0,25851150,17976610,702076864,493825110,73098254,96345700,1681,47493914.24,24.226,194427400.77849728,21.604,29.024,2990.437,1980.522,244819377,1681,4593,1231,975,1,160,0,11,0,7.42,6.765,0.244,0.77,0.079,0.141,0.042,0.026,0.037
2016,Harwood Heights,2903,2695,43,114,0,1,0,2005,2040000,687425618,0,89355590,0,0,0,0,8935559,776781362,671194640,33524680,69600112,43,20958231.91,8.873,235203273.76099986,8.499,9.188,6096.179,4807.463,260251450,43,2002,700,425,3,40,0,4,0,0.689,2.698,0.089,0.885,0.003,0,0,0.012,0
