tax_code,class,av,eav,pins_in_class,parcel_count_in_class,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill
10086,278,221724,665770,4,4,57378.29,0,4258.679831144575,61636.97,57378.29,0,0,0,0,57378.29
10086,290,9395,28210,1,1,2611.6800000000003,0,0,2611.6800000000003,2611.6800000000003,0,0,0,0,2611.6800000000003
10088,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10088,100,5,15,5,5,1.1500000000000001,0,0,1.1500000000000001,1.1500000000000001,0,0,0,0,1.1500000000000001
10088,208,699767,2101191,8,8,163068.46000000002,0,7127.999538370111,170196.46,163068.46000000002,0,0,0,0,163068.46000000002
10088,209,791667,2377140,9,9,183962.33,0,8585.999443945815,192548.33000000002,183962.33,0,0,0,0,183962.33
10088,278,60423,181432,1,1,13885.980000000001,0,809.9999475420581,14695.980000000001,13885.980000000001,0,0,0,0,13885.980000000001
10089,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10089,100,1,3,1,1,0.23,0,0,0.23,0.23,0,0,0,0,0.23
10089,204,620194,1862256,3,3,149576.38999999998,0,0,149576.38999999998,149576.38999999998,0,0,0,0,149576.38999999998
10089,299,495480,1487779,11,1,109699.41,0,9799.039435616502,119498.45,109699.41,0,0,0,0,109699.41
10090,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10090,100,1,3,1,1,0.23,0,0,0.23,0.23,0,0,0,0,0.23
10090,299,1194299,3586127,28,1,261299.61000000002,0,29176.846110422965,290476.45,261299.61000000002,0,0,0,0,261299.61000000002
10092,100,48088,144393,2,2,12683.47,0,0,12683.47,12683.47,0,0,0,0,12683.47
10092,529,1700000,5104590,1,1,448387.17,0,0,448387.17,448387.17,0,0,0,0,448387.17
10094,100,219797,659983,18,18,60058.41,0,0,60058.41,60058.41,0,0,0,0,60058.41
10094,204,237627,713523,2,2,64930.61,0,0,64930.61,64930.61,0,0,0,0,64930.61
10094,208,96101,288562,1,1,26259.16,0,0,26259.16,26259.16,0,0,0,0,26259.16
10094,209,125293,376217,1,1,34235.74,0,0,34235.74,34235.74,0,0,0,0,34235.74
10094,239,7516,7516,2,2,683.94,0,0,683.94,683.94,0,0,0,0,683.94
10094,517,1230999,3696321,1,1,336365.2,0,0,336365.2,336365.2,0,0,0,0,336365.2
10094,533,409464,1229498,1,1,111884.3,0,0,111884.3,111884.3,0,0,0,0,111884.3
10095,100,5168,15518,1,1,1246.41,0,0,1246.41,1246.41,0,0,0,0,1246.41
10095,208,602788,1809992,8,8,138310.38,0,7068.159592903706,145378.54,138310.38,0,0,0,0,138310.38
10095,209,1214182,3645824,12,12,283354.83,0,9477.759454120878,292832.59,283354.83,0,0,0,0,283354.83
10095,239,2229,2229,9,9,179,0,0,179,179,0,0,0,0,179
10095,278,65311,196109,1,1,14948.28,0,803.1999537390575,15751.48,14948.28,0,0,0,0,14948.28
10097,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10098,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10099,100,11596,34819,1,1,3257.68,0,0,3257.68,3257.68,0,0,0,0,3257.68
