clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Hodgkins,q50,1,21112,63394,5271,6223,952,1046.5999424447332,10.47,10.31,6,-0.16000000000000014
Hoffman Estates,q50,1,21096,63346,5365,5821,457,1115.799989178936,11.15,10.02,844,-1.1300000000000008
Homewood,q50,1,21005,63072,8119,8245,125,1665.9999571470146,16.32,13.8,111,-2.5199999999999996
Justice,q50,1,21084,63309,4991,5394,403,1183.6999340749346,11.4,10.03,139,-1.370000000000001
La Grange,q50,1,21106,63375,4679,5104,425,897.6999746494449,9.12,8.54,29,-0.5800000000000001
La Grange Park,q50,1,20964,62948,5095,5561,467,1218.09991017595,10.47,9.5,50,-0.9700000000000006
Lansing,q50,1,21158,63531,9772,8172,-1600,2105.299935700253,20.04,13.88,86,-6.159999999999998
Lemont,q50,1,21015,63102,3771,4259,487,783.7999358853033,7.84,7.33,110,-0.5099999999999998
Lincolnwood,q50,1,21135,63462,5370,5639,268,613.5369767960516,9.66,9.18,24,-0.4800000000000004
Lynwood,q50,1,21093,63336,7466,7511,45,1574.9998853199306,15.11,12.64,41,-2.469999999999999
Lyons,q50,1,21072,63272,5306,5769,463,1146.899907779302,11.49,10.27,50,-1.2200000000000006
Markham,q50,1,21266,63855,12941,12957,16,3690.259796958538,26.36,21.93,6,-4.43
Matteson,q50,1,21001,63060,9096,9314,218,1799.7999383624128,18.07,15.46,219,-2.6099999999999994
Maywood,q50,1,20943,62886,8231,8521,290,1882.599886848826,18.83,15.94,53,-2.889999999999999
Mc Cook,q50,1,21451,64411,6455,7689,1233,2503.6198110887576,13.91,13.63,1,-0.27999999999999936
Melrose Park,q50,1,20995,63042,4957,5493,536,1041.9999752654437,10.59,9.68,49,-0.9100000000000001
Merrionette Park,q50,1,21226,63735,5409,6020,611,2008.4396077107276,11.16,10.29,3,-0.870000000000001
Midlothian,q50,1,21230,63746,7189,7203,14,1504.2998932785374,15.03,12.47,36,-2.5599999999999987
Morton Grove,q50,1,21046,63194,5470,5880,410,1068.1999589389882,10.87,9.93,86,-0.9399999999999995
Mt Prospect,q50,1,21056,63225,4846,5367,521,1037.699980812758,9.92,9.13,295,-0.7899999999999991
Niles,q50,1,21302,63964,4527,5014,487,1018.8999882479684,9.24,8.51,147,-0.7300000000000004
Norridge,q50,1,21132,63453,4049,4519,470,847.0999380019209,8.56,7.89,136,-0.6700000000000008
North Lake,q50,1,20877,62687,6805,7613,808,1359.9998957544938,13.58,12.67,19,-0.9100000000000001
North Riverside,q50,1,21025,63132,4715,5296,581,1064.599920261561,10.12,9.35,310,-0.7699999999999996
Northbrook,q50,1,21208,63681,4313,4866,553,831.9999891887425,8.45,8.13,29,-0.3199999999999985
Northfield,q50,1,21114,63399,4410,4766,356,726.8399585465088,8.13,7.85,9,-0.28000000000000114
Oak Forest,q50,1,21045,63192,6916,7156,241,1500.5999499909108,13.98,12.03,401,-1.950000000000001
Oak Lawn,q50,1,21026,63135,5785,6114,329,1277.6999778752793,12.24,10.68,973,-1.5600000000000005
Oak Park,q50,1,21281,63900,6322,7041,719,1246.1999825774571,12.46,11.61,19,-0.8500000000000014
Olympia Fields,q50,1,21053,63216,9185,9728,543,1876.899757905371,18.5,16.34,114,-2.16
Orland Hills,q50,1,21074,63279,5710,5944,235,1139.1999567972537,11.23,9.77,165,-1.4600000000000009
Orland Park,q50,1,21050,63207,4667,5203,535,1156.199975778632,9.79,9.03,251,-0.7599999999999998
Palatine,q50,1,21134,63459,5256,5786,529,1081.599986886862,10.82,9.88,593,-0.9399999999999995
Palos Heights,q50,1,21012,63092,5371,5858,487,1148.199950835712,11.06,10.01,168,-1.0500000000000007
Palos Hills,q50,1,20988,63020,5377,5809,432,1851.480638094627,11.73,10.4,388,-1.33
Palos Park,q50,1,21032,63153,4702,5226,524,929.399954854368,9.29,8.7,18,-0.5899999999999999
Park Forest,q50,1,20877,62688,18403,15830,-2573,3492.7997498576824,34.93,25.25,2,-9.68
Park Ridge,q50,1,21075,63282,5088,5480,392,1012.8999840065856,10.12,9.44,61,-0.6799999999999997
Phoenix,q50,1,20745,62291,15663,10065,-5598,2995.3985624588863,29.95,16.16,1,-13.79
Posen,q50,1,21263,63846,6713,6402,-310,1354.799696478202,13.54,10.74,19,-2.799999999999999
Prospect Heights,q50,1,21198,63651,5524,6089,565,1125.2996566801244,11.12,10.21,34,-0.9099999999999984
Richton Park,q50,1,21065,63252,9372,9275,-96,1888.1998640684976,18.68,15.4,114,-3.2799999999999994
River Grove,q50,1,20920,62818,6333,6835,503,1373.2999246991749,13.03,11.66,88,-1.3699999999999992
Riverside,q50,1,21104,63369,6179,6796,617,1225.699938995912,12.26,11.32,13,-0.9399999999999995
Rolling Meadows,q50,1,20794,62438,5312,5619,308,1102.8999784499583,11.05,9.68,267,-1.370000000000001
Rosemont,q50,1,21047,63198,5537,6039,502,907.0199631739812,10.08,9.97,8,-0.10999999999999943
Sauk Village,q50,1,21134,63459,8814,8340,-474,1731.5996918134233,17.32,13.69,9,-3.630000000000001
Schaumburg,q50,1,21183,63606,5075,5783,708,1009.3999877505308,10.09,9.6,358,-0.4900000000000002
Schiller Park,q50,1,20873,62675,6106,6897,791,1276.6999662566495,12.77,11.93,60,-0.8399999999999999
Skokie,q50,1,21164,63549,5292,5788,495,1085.4999739750365,10.49,9.83,209,-0.6600000000000001
South Barrington,q50,1,21012,63094,4399,5056,657,828.4999463288945,8.29,8.01,2,-0.27999999999999936
South Chicago Heights,q50,1,20869,62664,7044,7222,178,1337.599867478332,13.38,11.53,2,-1.8500000000000014
South Holland,q50,1,21192,63633,9168,9193,25,2440.099972689301,19.3,15.99,65,-3.3100000000000005
Stickney,q50,1,21032,63154,6123,6383,260,1279.6999167125932,12.8,11.03,42,-1.7700000000000014
Stone Park,q50,1,21100,63357,7026,7647,621,1622.9998913329546,16.23,14.35,7,-1.8800000000000008
Streamwood,q50,1,21036,63164,5973,6278,305,1217.499965314399,12.12,10.59,498,-1.5299999999999994
Summit,q50,1,21122,63422,6869,7356,486,1398.2998979803883,13.98,12.44,18,-1.540000000000001
Thornton,q50,1,21058,63231,10821,10839,18,2032.7995556506096,20.33,17.14,1,-3.1899999999999977
Tinley Park,q50,1,21012,63094,5979,6313,334,1403.9999752009076,12.27,10.75,720,-1.5199999999999996
Westchester,q50,1,21137,63468,4671,4994,323,983.4999543064648,9.83,8.69,755,-1.1400000000000006
Western Springs,q50,1,21116,63405,4585,4769,184,414.595979874979,7.97,7.59,8,-0.3799999999999999
Wheeling,q50,1,20972,62973,6008,6586,578,1233.8999805703934,12.33,11.22,198,-1.1099999999999994
Willow Springs,q50,1,20880,62698,5463,5924,460,1437.2998683834503,12.06,10.7,30,-1.3600000000000012
Wilmette,q50,1,21130,63447,4742,5075,333,432.5999922671809,8.59,8.26,10,-0.33000000000000007
Winnetka,q50,1,21019,63114,4910,5096,186,544.5089883574659,8.64,8.45,1,-0.19000000000000128
Worth,q50,1,21025,63132,6153,6488,335,1351.79992293961,13.35,11.57,69,-1.7799999999999994
Alsip,q75,1,31508,94609,11071,11451,380,1378.4999567605146,13.31,12.29,13,-1.0200000000000014
Arlington Heights,q75,1,31546,94723,8301,8668,368,1012.1999812464057,10.25,9.53,600,-0.7200000000000006
Barrington,q75,1,31630,94975,6408,6872,464,821.2999438350652,8.21,7.81,29,-0.40000000000000124
Barrington Hills,q75,1,31412,94322,7964,8197,233,445.7999671471737,8.92,8.69,2,-0.23000000000000043
Bedford Park,q75,1,31200,93684,12159,13246,1087,1452.999923289891,14.53,14.14,1,-0.3899999999999988
