year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Glenview,17443,16145,109,459,1261,8,0,12870,32464444,4262112960,732804365,516646751,0,667278351,0,0,1183927425,5445957100.766214,4662849998,147125488,589198304,375,134250104.19,6.186,2170351323.099321,4.974,7.677,6593.333,6817.921,2790341320,2.703,2.465,0.062,0.783,0.006,0.135,0.123,0.217,0
2006,Glenwood,3866,3405,33,85,167,8,6,2589,3198669,250590389,39979017,63988907,0,26858265,0,2767344,91171591,341721852.70135564,278892429,14650344,40920418,243,14683211.27,11.461,127938480.06210001,10.081,13.28,3428.763,3020.768,180598969,3.199,4.297,0.115,0.733,0.009,0.117,0.079,0.267,0.008
2006,Golf,205,187,0,2,0,0,0,153,0,66606067,0,3841737,0,0,0,0,3841737,70447803.4469697,64507344,0,5629523,13,2338499.08,7.534,31039276.34722591,7.534,7.534,7027.081,11379.826,32703577,0,3.319,0.075,0.945,0,0,0,0.055,0
2006,Hanover Park,5371,4929,1,126,258,0,0,3688,0,528367580,38281646,107950438,0,21395233,0,0,129356111,657675757.9744817,573783973,526817,63929747,94,22650504.4,8.706,260006297.06961352,8.301,11.565,3957.427,3352.835,326750139,3.264,3.444,0.087,0.803,0,0.058,0.033,0.197,0
2006,Harvey,14881,9600,242,899,722,51,20,4662,19109669,460522897,45108624,111399193,3,15210323,0,8569456,126609520,587116113.1897926,415262494,57974333,75670933,1389,36694322.11,13.563,268111758.15860245,12.126,15.062,2234.955,1414.183,327129452,2.936,6.25,0.137,0.784,0.033,0.077,0.026,0.216,0.015
2006,Harwood Heights,2732,2500,61,112,0,0,0,1947,0,445485251,0,98962155,0,0,0,0,98962155,544447333.0761563,461788206,41765950,40373872,50,16227687.49,6.587,246444910.84004745,6.398,6.763,5282.207,3547.9,289316870,0.365,2.981,0.066,0.818,0,0,0,0.182,0
2006,Hazelcrest,6139,5366,29,142,368,18,4,3615,5082344,364948074,33427673,86813775,0,16678344,0,2365719,103570029,468481071.50717705,406904656,7044344,48918076,258,21716181.39,12.113,183273650.7538517,10.974,13.279,2989.166,3020.044,234892843,2.305,4.635,0.118,0.779,0.011,0.071,0.036,0.221,0.005
2006,Hickory Hills,4994,4539,30,155,19,0,0,3653,0,580839582,9351758,152876376,0,1608367,0,0,154484743,735324344.6969697,629990029,18397117,76428750,124,27590917.27,8.876,311510066.2965172,8.01,11.125,3755.26,3974.971,379314917,3.115,3.752,0.089,0.79,0,0.013,0.002,0.21,0
2006,Hillside,3060,2485,158,186,62,5,0,1845,12974125,396064207,60032800,69987600,0,25313865,0,0,95301464,491365739.23577887,305882838,90492497,87681391,139,22260485.8,9.039,257827760.77231836,8.027,10.053,4337.107,3097.776,313204890,2.026,4.53,0.086,0.806,0.026,0.122,0.052,0.194,0
2006,Hinsdale,991,790,0,7,0,0,0,543,0,390238345,0,23942373,0,0,0,0,23942373,414180738.4569378,403940488,0,5200724,108,9610466.45,5.571,172974118.67499802,5.551,5.984,10065.597,12250.337,183346340,0.433,2.32,0.056,0.942,0,0,0,0.058,0
2006,Hodgkins,590,205,83,81,106,17,0,135,43690531,246604047,68937252,5671086,1946262,57093207,0,0,66656817,311314633.25026584,34456560,203592292,62254453,132,14917947.37,7.518,203879961.91409674,6.478,7.627,3595.888,3092.442,262195023,1.149,4.792,0.073,0.792,0.14,0.221,0.183,0.214,0
2006,Hoffman Estates,17216,16131,26,255,108,2,0,12642,18551331,2699294710,404732642,423888707,0,376700440,0,0,801217184,3500448636.313796,2532969192,78050698,808669065,390,116681972.84,8.061,1508382344.4043922,5.785,8.345,4016.647,4449.469,2061490817,2.56,3.333,0.077,0.771,0.005,0.116,0.108,0.229,0
2006,Hometown,1683,1645,0,17,0,0,0,1372,0,96984253,0,46424299,0,0,0,0,46424299,143408687.53588516,135240825,0,8107935,72,3768964.16,8.045,46848529.02423866,8.045,8.045,2935.618,1672.03,66960320,0,2.628,0.08,0.676,0,0,0,0.324,0
2006,Homewood,8507,7727,20,299,267,11,9,6008,12226694,689218649,95776556,161992367,0,79051353,0,11498331,241043720,930262178.3486178,757929625,15574241,148406240,323,42147969.89,11.723,358091107.23234016,10.388,12.881,3953.11,3864.956,495565005,2.493,4.531,0.118,0.741,0.013,0.103,0.085,0.259,0.012
2006,Indian Head Park,2242,2112,8,10,0,1,0,1569,979988,317769129,0,62285488,0,0,0,0,62285488,380054444.90696436,363875346,2593352,11116129,35,9577479.07,6.545,145818792.76545614,6.036,6.844,2660.182,4520.83,172801823,0.808,2.52,0.066,0.836,0.003,0,0,0.164,0
2006,Inverness,3075,2825,1,38,0,0,0,2334,0,991073224,0,78919906,0,0,0,0,78997027,1070069935.3090112,1034172106,123950,19715161,57,29537176.93,6.781,442801992.36132276,5.227,8.02,8050.543,10056.787,476991243,2.793,2.76,0.067,0.926,0,0,0,0.074,0
2006,Justice,3346,2999,19,69,504,0,0,2343,0,327425003,62122550,86413034,0,52477334,0,0,138890369,466266682.39300907,413015823,8756111,17778282,173,13782261.38,8.389,163011541.11697653,8.117,9.257,4516.092,3488.598,223220804,1.14,2.956,0.085,0.702,0,0.133,0.113,0.298,0
2006,Kenilworth,1010,925,0,33,0,0,0,720,0,636848123,0,31179310,0,0,0,0,31179310,668027313.3692185,659340921,0,7894665,49,17712857.49,6.302,281045124.63674706,6.297,6.49,14687.223,19596.27,294552456,0.193,2.652,0.063,0.953,0,0,0,0.047,0
2006,La Grange,6671,5975,71,277,471,1,0,4326,3559147,1200758935,59409166,201504259,0,44691347,0,0,246195605,1446825103.61975,1340016260,25757627,78708471,273,42191970.78,7.403,569603617.6593858,6.673,7.768,4425.298,6686.19,690243759,1.095,2.916,0.074,0.83,0.002,0.041,0.031,0.17,0
2006,La Grange Park,4705,4362,8,102,0,0,0,3580,0,752322078,0,183323091,0,0,0,0,183323091,935313322.0660553,891600100,8868903,25332929,178,26108442.23,7.439,352754863.33226687,7.02,8.105,4993.414,5085.131,432029625,1.085,2.791,0.074,0.804,0,0,0,0.196,0
2006,Lansing,12379,10683,181,654,969,15,10,8268,9664388,842018388,147715076,195010684,0,109186394,0,2148856,304272685,1146252789.5919724,904971800,53656903,163718041,413,48779379.84,10.912,450036870.12485015,9.172,12.078,3535.157,2879.048,624930578,2.906,4.256,0.108,0.735,0.008,0.129,0.095,0.265,0.002
2006,Lemont,6403,5283,50,183,273,0,0,4181,0,1043194260,26774728,176747549,0,17280797,0,0,194086516,1237280662.632908,1073977238,22400397,99414582,304,32586825.44,6.181,527209627.6854013,5.898,6.412,4266.301,4614.857,615394221,0.514,2.634,0.062,0.843,0,0.022,0.014,0.157,0
2006,Lincolnwood,5705,5024,108,330,100,0,0,4035,0,1216765555,71950762,172000267,0,30668142,0,0,202668409,1419343757.5299044,1138753419,66522905,202974911,157,48585201.6,7.279,667470828.410496,7.279,7.279,6440.363,5983.429,772190611,0,3.423,0.073,0.857,0,0.051,0.022,0.143,0
2006,Lynwood,3268,2585,33,72,9,7,0,1710,8340069,295914346,2550550,39428564,0,2095871,0,0,42579914,338482688.57987773,285777767,13495231,25670460,77,13394095.68,8.925,150465248.59694016,8.567,16.4,3181.24,3700.046,168933173,7.833,3.957,0.089,0.874,0.025,0.008,0.006,0.126,0
2006,Lyons,3879,3340,128,209,144,1,0,2171,462875,387949497,21400827,87098141,0,11899575,0,0,98997717,486947135.239899,401757356,37586803,39876297,137,18315179.56,8.604,213395950.83768213,8.043,10.683,3827.564,3120.507,259233297,2.64,3.761,0.086,0.797,0.001,0.044,0.024,0.203,0
2006,Markham,9649,5308,130,229,403,19,13,3424,22773925,264903434,42146038,85794760,0,31609376,0,16113125,117702892,382582411.0499734,271020342,43426691,41420819,2283,19931946.95,13.6,145668444.40470368,12.853,15.469,2695.47,1735.979,205718161,2.616,5.21,0.137,0.692,0.06,0.11,0.083,0.308,0.042
2006,Matteson,6833,5684,18,178,270,6,0,4177,50707850,890941543,61426588,98265598,0,25828268,0,0,125831962,1016773409.6398193,685889142,54716528,209932471,187,53646255.95,10.397,513452795.15267575,10.129,11.043,4799.866,4488.109,578578069,0.914,5.276,0.104,0.876,0.05,0.06,0.025,0.124,0
2006,Maywood,7972,6699,123,324,2184,16,16,4472,12973988,446982099,213443364,174143925,0,91781878,0,12973988,265925803,712860302.4322169,622537250,39541535,39299304,539,27578605.57,12.526,220187569.7217308,12.518,12.929,4269.996,3175.344,351663072,0.411,3.869,0.125,0.627,0.018,0.299,0.129,0.373,0.018
2006,Mc Cook,335,81,92,36,25,8,1,55,66592275,188937223,41193207,2854368,2191095,19674071,0,9599994,24829971,213656757.00093037,11595344,154453597,8633784,49,10999626.87,8.563,134393828.54628322,7.412,9.11,5682.898,3585.75,151612658,1.698,5.148,0.082,0.884,0.312,0.193,0.092,0.116,0.045
2006,Melrose Park,6625,5226,457,373,612,34,9,3327,62633006,1014424768,152045364,161000950,0,89545676,0,37942212,250546626,1264971251.0054493,728239148,350913034,169736989,354,54155076.68,7.547,679912556.9597807,7.049,8.735,3687.07,3211.208,814450211,1.686,4.281,0.08,0.802,0.05,0.12,0.071,0.198,0.03
2006,Merrionette Park,662,625,7,16,0,0,0,452,0,69963864,0,13976381,0,0,0,0,13976381,83940240.54691653,57891260,2410436,23433589,12,3945773.21,8.325,47396675.1951952,8.325,8.325,2378.722,2028.945,53451469,0,4.701,0.083,0.833,0,0,0,0.167,0
2006,Midlothian,5920,5086,15,274,0,2,0,3780,1637462,434559818,0,112790067,0,0,0,0,112790067,547349837.6368953,487563096,2756064,51836971,355,19197618.04,8.671,221168032.98729688,8.265,8.729,3103.098,2628.763,270030885,0.464,3.507,0.087,0.794,0.003,0,0,0.206,0
2006,Morton Grove,10232,9416,106,372,516,0,0,7904,0,1496123113,90859999,348691015,0,51910358,0,0,400601373,1896641973.9254386,1584584421,127019600,162806447,204,62444879.37,7.843,807872341.5113472,6.701,8.859,4933.271,4326.439,990742657,2.158,3.292,0.077,0.789,0,0.048,0.027,0.211,0
2006,Mt Prospect,18187,17228,108,408,627,9,0,14379,20868906,2981917431,83414087,580434488,0,61213062,0,0,641647549,3623487100.850611,3076863490,169482193,342499514,321,121252873.84,7.621,1596859615.5745163,6.83,8.878,4692.643,4544.68,1881957512,2.048,3.346,0.076,0.823,0.006,0.023,0.017,0.177,0
