nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
22110,0.10128999999999999,5A,110,North,194207.5,0,1917341.2972652782,0,0,1917341.2972652782,6,638539,1917342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22100,0.10128999999999999,1,100,North,1340.69,0,13236.153618323628,0,0,13236.153618323628,1,4408,13236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22100,0.10128999999999999,2,100,North,4466808.62,0,44099206.43696318,0,4193596.9337842492,48292803.370747425,340,16083127,48292802,4193597,2710000,854400,619197,0,10000,0,0,0,0,0,0,274,108,29,0,5,0,0,0
22100,0.10129,4,100,North,570537.41,0,5632712.113732846,0,0,5632712.113732846,33,1875883,5632712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22100,0.10128999999999998,5A,100,North,202779.74,0,2001971.9616941458,0,0,2001971.9616941458,14,666724,2001972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22093,0.10237,1,093,North,234317.62,24295.49,2288928.592361043,237330.1748559148,0,2526258.767216958,27,841329,2526258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22093,0.10238743885747029,2,093,North,5028574.43,0,49113196.756489724,0,10875406.193848962,59988602.950338684,726,19978223,59988607,10875407,6360000,2240000,2237407,0,38000,0,0,0,0,0,0,636,280,107,0,19,0,0,0
22093,0.10237,3,093,North,184367.56,0,1800992.0875256422,0,0,1800992.0875256422,11,599791,1800992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22093,0.10236999999999999,5A,093,North,2208336.28,288622.28,21572103.936700206,2819402.9500830323,0,24391506.886783235,18,8123192,24391508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22093,0.10237,5B,093,North,155975.92,21438.97,1523648.7252124646,209426.29676663084,0,1733075.0219790954,4,577172,1733075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22093,0.10237,7A,093,North,178115.71,24482.09,1739920.9729412913,239152.9745042493,0,1979073.9474455405,1,659098,1979074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22091,0.1024221780653466,1,091,North,201893.48,0,1971189.090229945,0,0,1971189.090229945,42,656473,1971190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22091,0.10210052899750259,2,091,North,5806361.94,0,56869068.13325155,0,11156957.803008778,68026025.93626033,1891,22654942,68025986,11156958,6936090,2544782,1637086,0,34000,0,0,5000,0,0,10,694,319,139,0,17,0,1,0
22091,0.10234710576152459,3,091,North,1266956.93,0,12379020.594408326,0,0,12379020.594408326,4,4122630,12379021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22091,0.10234185754566373,5A,091,North,3225372.21,0,31515670.003946107,0,0,31515670.003946107,54,10495777,31515671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
