year,clean_name,major_class_code,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate,exe_vet_dis,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Bedford Park,5B,8.338158904109589,8.338158904109589,302423266.3348698,302423266.3348698,106302756,287825356,287825356,365,0,0,0,0,0,0,0,0,0,0,1582611,0,25216532.51,6830.7699999999995,183361.29699203285,25406724.58,25223363.28,0,0,0,0.0051381086166410956,0,0,0,0,0,0,0,0,2,25223363.28
2006,Bedford Park,6B,9.0518,9.0518,86892825.73631763,86892825.73631763,30973403,83863583,83863583,65,0,0,0,0,0,0,0,0,0,0,1034549,0,7865364.8,0,119862.83833602231,7985227.64,7865364.8,0,0,0,0,0,0,0,0,0,0,0,0,3,7865364.8
2006,Bellwood,0,11.17694382022472,11.17694382022472,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04919001907989139,534,0,0,0,0,0,0,0,0,0
2006,Bellwood,1,11.12968085106383,11.12968085106383,2418323.702195586,2418323.702195586,914289,2475528,2475528,94,0,0,0,0,0,0,0,0,0,0,0,0,269151.71,6398.34,0,275550.05,275550.05,0,0,0,0.01750392215880851,0,0,0,0,0,0,0,0,0,275550.05000000005
2006,Bellwood,2,11.203165867032213,8.872981315017299,180516613.51825854,227923117.51825854,89176666,241454773,241454773,5836,59894993,47406504,2506567,9981922,0,0,0,0,0,0,0,0,20223575.63,117284.74,6712140.639997876,27053001.61,20340860.37,0,0,0,0.001984262135237834,1,4363,735,478,0,0,0,0,0,20340860.369999997
2006,Bellwood,3,11.13515625,11.13515625,4006801.8803059007,4006801.8803059007,1885722,5105784,5105784,64,0,0,0,0,0,0,0,0,0,0,0,0,446163.65,123161.66,0,569325.31,569325.31,0,0,0,0.029481413709828125,0,0,0,0,0,0,0,0,0,569325.31
2006,Bellwood,4,11.118,11.118,1802055.6754812016,1802055.6754812016,744151,2014864,2014864,11,0,0,0,0,0,0,0,0,0,0,0,0,200352.55,23660.07,0,224012.62,224012.62,0,0,0,0.1502192677610909,0,0,0,0,0,0,0,0,0,224012.62
2006,Bellwood,5A,11.183357142857144,11.183357142857144,35678091.90953393,35678091.90953393,13575401,36756756,36756756,252,0,0,0,0,0,0,0,0,0,0,0,0,3990008.44,118153.81,0,4108162.25,4108162.25,0,0,0,0.035694254811857146,0,0,0,0,0,0,0,0,0,4108162.25
2006,Bellwood,5B,11.176318681318682,11.176318681318682,73235933.43559036,73235933.43559036,29438985,79708988,79708988,182,0,0,0,0,0,0,0,0,0,0,0,0,8185081.31,711031.76,0,8896113.07,8896113.07,0,0,0,0.04880763226998901,0,0,0,0,0,0,0,0,0,8896113.07
2006,Bellwood,6B,11.118,11.118,203612.25040474907,203612.25040474907,80103,216887,216887,1,0,0,0,0,0,0,0,0,0,0,0,0,22637.61,1475.9,0,24113.510000000002,24113.510000000002,0,0,0,0.06120701445,0,0,0,0,0,0,0,0,0,24113.510000000002
2006,Bensenville,0,7.775,7.775,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2006,Bensenville,1,7.8458,7.8458,742243.1109638277,742243.1109638277,469361,1270840,1270840,10,0,0,0,0,0,0,0,0,0,0,0,0,58234.909999999996,41641.29,0,99876.2,99876.2,0,0,0,0.2933567838935,0,0,0,0,0,0,0,0,0,99876.2
2006,Bensenville,2,7.775,7.775,216604.88745980707,216604.88745980707,79999,216605,216605,1,0,0,0,0,0,0,0,0,0,0,0,0,16841.03,0,0,16841.03,16841.03,0,0,0,0,0,0,0,0,0,0,0,0,0,16841.03
2006,Bensenville,5A,7.775,7.775,635765.7877813505,635765.7877813505,234808,635766,635766,2,0,0,0,0,0,0,0,0,0,0,0,0,49430.79,0,0,49430.79,49430.79,0,0,0,0,0,0,0,0,0,0,0,0,0,49430.79
2006,Bensenville,5B,7.790578125000001,7.790578124999999,34730621.098803245,34730621.098803245,12837683,34759314,34759314,64,0,0,0,0,0,0,0,0,0,0,0,0,2705716.17,0,0,2705716.17,2705716.17,0,0,0,0,0,0,0,0,0,0,0,0,0,2705716.17
2006,Bensenville,6B,7.893,7.893,2836473.5841885214,2836473.5841885214,2534802,6863229,6863229,4,0,0,0,0,0,0,0,0,0,0,0,0,223882.86,317830.69,0,541713.5499999999,541713.5499999999,0,0,0,0.586713567787,0,0,0,0,0,0,0,0,0,541713.55
2006,Berkeley,0,9.139369402985075,9.139369402985075,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004821310748070896,1072,0,0,0,0,0,0,0,0,0
2006,Berkeley,1,9.272918367346938,9.272918367346938,1199361.0381778849,1199361.0381778849,446460,1208835,1208835,49,0,0,0,0,0,0,0,0,0,0,0,0,111215.77,2264.3100000000004,0,113480.08,113480.08,0,0,0,0.009670942162081633,0,0,0,0,0,0,0,0,0,113480.08
2006,Berkeley,2,9.377676687464549,7.380249749666683,66862291.364571035,84958229.36457103,33802530,91523737,91523737,1763,24226695,18095938,1137500,4993257,0,0,0,0,0,0,0,0,6270129.51,36945.590000000004,2273071.1058369526,8580146.36,6307075.1,0,0,0,0.003763055203169597,0,1391,329,196,0,0,0,0,0,6307075.1
2006,Berkeley,3,9.300933333333333,9.300933333333331,2359399.3434350677,2359399.3434350677,1091500,2955348,2955348,15,0,0,0,0,0,0,0,0,0,0,0,0,219446.16,54129.14,0,273575.3,273575.3,0,0,0,0.20534633857486667,0,0,0,0,0,0,0,0,0,273575.3
2006,Berkeley,4,9.408,9.408,617326.9557823129,617326.9557823129,227998,617327,617327,1,0,0,0,0,0,0,0,0,0,0,0,0,58078.119999999995,0,0,58078.119999999995,58078.119999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,58078.119999999995
2006,Berkeley,5A,9.493423728813559,9.493423728813559,9734900.984088898,9734900.984088898,4506801,12202612,12202612,59,0,0,0,0,0,0,0,0,0,0,0,0,924175.4,230177.97,0,1154353.3699999999,1154353.3699999999,0,0,0,0.16958381301930509,0,0,0,0,0,0,0,0,0,1154353.37
2006,Berkeley,5B,9.479111111111111,9.47911111111111,34132301.98565267,34132301.98565267,13177313,35678892,35678892,27,0,0,0,0,0,0,0,0,0,0,0,0,3235438.83,149420.33000000002,0,3384859.16,3384859.16,0,0,0,0.00795710115762963,0,0,0,0,0,0,0,0,0,3384859.16
2006,Berwyn,0,8.750106382978723,8.750106382978723,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07274372177878369,564,0,0,0,0,0,0,0,0,0
2006,Berwyn,1,8.74306153846154,8.74306153846154,1146033.1093315315,1146033.1093315315,443642,1201200,1201200,65,0,0,0,0,0,0,0,0,0,0,0,0,100198.38,4979.860000000001,0,105178.24,105178.24,0,0,0,0.03581347142429231,0,0,0,0,0,0,0,0,0,105178.24
2006,Berwyn,2,8.820347133985296,7.005004929871794,622235660.6411936,783487603.6411936,312412657,845888583,845888583,14009,217222286,161251943,8230471,47716554,0,0,0,0,0,23318,0,23318,54883345.26,627292.48,19139227.294863943,74647841.07,55510637.74,0,0,0,0.010250309723378901,5,10190,2389,1465,0,0,0,1,0,55510637.739999995
2006,Berwyn,3,8.794977653631285,8.794977653631285,31592489.480093073,31592489.480093073,13212942,35775361,35775361,179,0,0,0,0,0,0,0,0,0,0,0,0,2778552.39,394830.23,0,3173382.62,3173382.62,0,0,0,0.09521734003909497,0,0,0,0,0,0,0,0,0,3173382.62
2006,Berwyn,4,9.049285714285714,9.049285714285714,401999.13173889025,401999.13173889025,184421,499339,499339,21,0,0,0,0,0,0,0,0,0,0,0,0,36378.05,8630.22,0,45008.27,45008.27,0,0,0,0.016170265079666665,0,0,0,0,0,0,0,0,0,45008.270000000004
2006,Berwyn,5A,8.762192443919718,8.761552197547093,136846573.009483,136856573.009483,64131340,173641993,173641993,847,47108,10000,3500,33608,0,0,0,0,0,0,0,0,11990760.08,3138205.89,4300.980202836173,15133266.92,15128965.97,0,0,0,0.24527439039109328,0,3,1,1,0,0,0,0,0,15128965.97
2006,Berwyn,5B,8.85075,8.85075,4809739.626585318,4809739.626585318,2415228,6539473,6539473,48,0,0,0,0,0,0,0,0,0,0,0,0,425698.03,151635.97,0,577334,577334,0,0,0,0.26635141466816664,0,0,0,0,0,0,0,0,0,577334
