year,clean_name,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_vet_dis,exe_abate,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Kenilworth,6.301920679886686,6.035358011543393,281070778.09678954,293484785.09678954,108787283,294552456,294552456,1059,13507376,12414007,479500,613869,0,0,0,0,0,0,0,0,17712857.49,0,851106.8055253549,18563960.27,17712857.49,0,0,0,0,98,720,138,6,0,0,0,0,0,17712857.49
2006,La Grange,7.406013682846032,6.60051959361076,569698795.9626101,639221960.9626101,254928272,690243759,690243759,6943,87294869,69523165,3286500,14429329,0,0,0,0,0,55875,55875,0,42191970.78,2588908.94,6422943.133401067,51199576.74,44780879.72,0,0,0,0.058168695737013255,545,4325,972,347,0,0,0,1,0,44780879.72
2006,La Grange Park,7.439104324656692,6.370982782866739,350962173.54372,409802429.54372,159561826,432029625,432029625,4879,79418496,58840256,3847200,16587457,0,0,0,0,0,143583,143583,0,26108442.23,0,5912029.294734734,32009759.32,26108442.23,0,0,0,0,352,3576,958,391,0,0,0,4,0,26108442.23
2006,Lansing,10.915636406286652,9.596919451393317,446876187.74024445,508281642.74024445,230818189,624930578,624963332,12789,84492342,61405455,7310278,15760178,0,0,0,0,0,16431,16431,0,48779379.84,10079277.92,9183252.175513575,68040054.44,58858657.76,0,0,0,0.05627691626400446,823,8267,2225,1299,0,0,0,1,0,58858657.760000005
2006,Lemont,6.181095571790666,5.51555597649037,527201449.3469413,590816693.3469412,227293338,615394221,615419421,6707,76572761,63615244,2814000,10143517,0,0,0,0,0,0,0,0,32586825.44,717731.15,4732961.803549461,38037511.54,33304556.59,0,0,0,0.03340056408783957,608,4181,809,307,0,0,0,0,0,33304556.59
2006,Lincolnwood,7.279,6.7193102661423465,667470828.410496,723068286.410496,285193772,772190611,772190611,5860,75058950,55597458,4318418,15104224,0,0,0,0,0,38850,38850,0,48585201.6,2161859.15,5463540.756510528,56207755.02,50747060.75,0,0,0,0.0079443046836971,312,4033,1404,382,0,0,0,2,0,50747060.75
2006,Lynwood,8.924273243647235,8.122179774670462,150086122.58185413,164907648.58185413,62559254,168933173,169385416,3345,17097468,14821526,815500,1460442,0,0,0,0,0,0,0,0,13394095.68,123206.04000000001,1531675.6982935488,15048975.14,13517301.72,0,0,0,0.0016659843032349774,154,1710,234,95,0,0,0,0,0,13517301.719999999
2006,Lyons,8.610715637450198,7.62222463162458,212702176.34806812,240286536.34806812,95742829,259233297,259233297,4016,37733289,27584360,1738450,8410479,0,0,0,0,0,0,0,0,18315179.56,697517.67,3244356.4848878062,22257051.71,19012697.23,0,0,0,0.021266297139153133,274,2171,516,325,0,0,0,0,0,19012697.23
2006,Markham,13.529862594776748,11.431747433434044,147318177.18307647,174356082.18307647,76025914,205718161,205847587,11870,37176590,27037905,2913773,7214102,0,0,0,0,0,10810,10810,0,19931946.95,3214927.63,5159445.016307749,28304821.47,23146874.58,0,0,0,0.02958127831778433,4504,3420,915,632,0,0,0,3,0,23146874.58
2006,Matteson,10.395838130521517,9.699454477538637,516035891.25246215,553085290.2524621,213964784,578578069,579331042,7018,42575000,37049399,2112080,3413521,0,0,0,0,0,0,0,0,53646255.95,2382062.81,4409951.404101793,60438267.48,56028318.76,0,0,0,0.028653847021007837,372,4177,606,224,0,0,0,0,0,56028318.760000005
2006,Maywood,12.525343599388739,10.067714254088834,220182427.34152132,273931151.3415213,129880013,351663072,351663072,8507,75447724,53748724,4051871,17626504,0,0,0,0,0,20625,20625,0,27578605.57,7016144.37,9453582.46386447,44045663.62,34594749.94,0,0,0,0.1432735432266805,1074,4471,1185,800,0,0,0,1,0,34594749.94
2006,Mc Cook,8.568375,8.519314258469715,128374713.64173485,129113993.64173485,55995220,151612658,151612658,384,1236558,739280,72100,425178,0,0,0,0,0,0,0,2075935,10999626.87,1189686.52,292954.30105951376,12482267.66,12189313.39,0,0,0,0.028941605014828127,98,55,21,13,0,0,0,0,6,12189313.389999999
2006,Melrose Park,7.551257523645744,7.073202763026057,717166333.0302362,765637272.0302362,300801526,814450211,814450211,6978,69752249,48470939,3111500,18169810,0,0,0,0,0,0,0,0,54155076.68,4971816.12,5204278.896462252,64331165.5,59126892.8,0,0,0,0.05656272916928877,707,3326,938,551,0,0,0,0,0,59126892.8
2006,Merrionette Park,8.325,7.601532128437626,47396675.1951952,51907604.1951952,19741272,53451469,53451469,672,6054792,4510929,393949,1149914,0,0,0,0,0,0,0,0,3945773.21,0,504061.4095580998,4449834.49,3945773.21,0,0,0,0,22,452,113,77,0,0,0,0,0,3945773.21
2006,Midlothian,8.670436314363144,7.371684704212838,221414671.00332528,260423754.00332528,99730724,270030885,270030885,6273,48862896,39009083,2521380,7332433,0,0,0,0,0,0,0,0,19197618.04,0,4238252.620409347,23435871.63,19197618.04,0,0,0,0,708,3780,730,409,0,0,0,0,0,19197618.04
2006,Morton Grove,7.843755319148936,6.911497636383761,796109476.0000162,903492740.0000162,365911769,990742657,990742657,10434,151069859,107383264,8608425,35042740,0,0,0,0,0,35430,35430,0,62444879.37,2498378.99,11788470.542940218,76728603,64943258.36,0,0,0,0.03212202467786151,406,7902,2680,1047,0,0,0,2,0,64943258.36
