muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_mean_fmv_all,muni_mc_median_fmv_all,muni_mc_min_fmv_all,muni_mc_quant25_all_fmv,muni_mc_quant50_all_fmv,muni_mc_quant75_all_fmv,muni_mc_max_fmv_all,muni_mc_PC_major_class,muni_mc_parcels,muni_mc_PC_residential,muni_mc_PC_industrial,muni_mc_PC_commercial,muni_mc_PC_inTIF,muni_mc_PC_withincents,muni_mc_PC_incents_inTIFs,muni_mc_PC_claimed_exe,muni_mc_fmv_incentive,muni_mc_fmv_taxed,muni_mc_fmv_inTIF,muni_mc_fmv_exempt,muni_mc_fmv_abated,muni_mc_fmv_tif_increment,muni_mc_fmv_abates_inTIF,muni_mc_fmv_incents_inTIF,muni_mc_fmv_untaxable_value,muni_mc_fmv_residential,muni_mc_fmv_c2_res,muni_mc_fmv_industrial,muni_mc_fmv_indust_incent,muni_mc_fmv_commercial,muni_mc_fmv_commerc_incent,muni_mc_fmv,muni_mc_zero_bill,muni_mc_levy,muni_mc_current_rate_avg,muni_mc_eav_taxed,muni_mc_eav_c2_taxed,muni_mc_eav_res_taxed,muni_mc_eav_taxed_commerc,muni_mc_eav_taxed_indust,muni_mc_min_TC_rate,muni_mc_max_TC_rate,muni_mc_avg_C2_bill_noexe,muni_mc_avg_C2_bill_withexe,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_zero_bills,muni_mc_exempt_allexemptions_eav,muni_mc_exempt_GHE_eav,muni_mc_exempt_SR_eav,muni_mc_exempt_FR_eav,muni_mc_exempt_LTHO_eav,muni_mc_exempt_DIS_eav,muni_mc_exempt_VET_eav,muni_mc_has_HO_exemp,muni_mc_has_SR_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_billed,muni_mc_range_TC_rate,muni_mc_effective_rate,muni_mc_pct_eav_taxed,muni_mc_pct_fmv_taxed,muni_mc_pct_fmv_w_incentclass,muni_mc_pct_fmv_inTIF,muni_mc_pct_fmv_in_tif_increment,muni_mc_pct_fmv_untaxable_value,muni_mc_pct_fmv_incents_inTIFs
2006,Bartlett,1,116714.08033826639,43531.818181818184,4.545454545454546,5,43532,70839,425917,215,215,0,0,0,21,0,0,0,0,22680630,7642032,0,0,2411938,0,0,530626,0,0,0,0,0,0,25093527.272727273,62,1504527.2772757877,0.089,13510216.008430773,0,0,0,0,0.079,0.307,NA,NA,1504527.2772757877,119363.02272421231,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623890.3,0.228,5.996,0.111,0.904,0,0.305,0.096,0.021,0
2006,Bartlett,2,166137.7070963417,162918.75,6.25,116656,162919,198175,424677,5221,4073,5221,0,0,97,0,0,3871,0,755549334,15945688,100447629,0,11066943,0,0,17878662,867404969,867404969,0,0,0,0,867404968.75,25,27163167.69497161,0.083,327316060.34881884,327316060.34881884,327316060.34881884,0,0,0.073,0.084,5482.798,5207.881,27163167.69497161,398316.8050283903,25,43515520,39179565,1400525,2935430,0,0,0,3871,404,128,0,0,0,0,0,27561484.5,0.011,3.132,0.083,0.871,0,0.018,0.013,0.021,0
2006,Bartlett,3,1364073.2142857146,792066.6666666667,55516.66666666667,209688,792067,1801023,1123082,7,7,7,0,0,2,0,0,0,0,9373353,239683,0,0,175161,0,0,42039,9548513,0,0,0,0,0,9548512.500000002,0,506042.7301295761,0.083,6091029.491208186,0,6091029.491208186,0,0,0.083,0.083,NA,NA,506042.7301295761,9456.459870423903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515499.19,0,5.3,0.083,0.982,0,0.025,0.018,0.004,0
2006,Bartlett,5A,542292.1451355661,318928.947368421,42.10526315789474,195534,318929,615502,1144423,66,63,0,0,66,33,0,0,0,0,23572722,16719368,0,0,12218518,0,0,4643037,0,0,0,0,35791282,0,35791281.578947365,1,2013399.3591640573,0.083,24253690.37574579,0,0,24253690.37574579,0,0.079,0.084,NA,NA,2013399.3591640573,1044439.0908359429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057838.45,0.004,5.625,0.083,0.659,0,0.467,0.341,0.13,0
2006,Bartlett,5B,1606851.5432098766,885763.8888888889,15716.666666666668,552236,885764,2293786,2089444,9,9,0,9,0,0,0,0,0,0,14461664,0,0,0,0,0,0,0,0,0,14461664,0,0,0,14461663.888888888,0,2003643.35,0.133,14096304.885841653,0,0,0,14096304.885841653,0.083,0.307,NA,NA,2003643.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003643.35,0.224,13.855,0.142,1,0,0,0,0,0
2006,Bedford Park,0,0,0,0,0,0,0,0,208,208,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0.09,0,0,0,0,0,0.07,0.12,NA,NA,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,NA,NA,NA,NA,NA,NA,NA,NA
2006,Bedford Park,1,201246.9696969697,42438.63636363637,40.90909090909091,7642,42439,200831,838720,102,102,0,0,0,4,0,0,0,0,19367750,1235827,0,0,1158842,0,0,254945,0,0,0,0,0,0,20527190.90909091,4,1177594.1778711646,0.092,11536826.399888495,0,0,0,0,0.073,0.116,NA,NA,1177594.1778711646,50246.17212883534,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227840.35,0.043,5.737,0.102,0.944,0,0.06,0.056,0.012,0
2006,Bedford Park,2,97367.2531512605,103378.125,4856.25,93712,103378,115033,39251,238,238,238,0,0,0,0,0,191,0,18058882,0,5114518,0,0,0,0,818323,23173406,23173406,0,0,0,0,23173406.25,0,906418.72,0.116,7823396.513032971,7823396.513032971,7823396.513032971,0,0,0.116,0.116,3346.353,3922.2,906418.72,0,0,2215691,1399722,192325,623644,0,0,0,191,62,34,0,0,0,0,0,906418.72,0,3.911,0.116,0.779,0,0,0,0.035,0
2006,Bedford Park,5A,1865857.619795758,461997.36842105264,531.578947368421,107157,461997,2709442,3700863,67,67,0,0,67,19,0,0,0,0,48945072,85451271,0,0,76067388,0,0,28905608,0,0,0,0,125012461,0,125012460.52631578,0,4390541.2370497035,0.086,50358997.46033798,0,0,50358997.46033798,0,0.073,0.116,NA,NA,4390541.2370497035,6193623.462950297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10584164.7,0.043,3.512,0.087,0.392,0,0.684,0.608,0.231,0
2006,Bedford Park,5B,809001.1872146119,387280.55555555556,2.7777777777777777,87050,387281,907322,3274999,365,365,0,365,0,2,0,0,2,0,295189167,102669,0,1623630,96274,0,0,619166,0,0,295285433,0,0,0,295285433.3333334,2,25399895.341089085,0.083,287731507.97484064,0,0,0,287731507.97484064,0.073,0.116,NA,NA,25399895.341089085,6830.738910915453,2,1582611,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25406726.08,0.043,8.602,0.088,1,0,0,0,0.002,0
