muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_cur_comp_muni_rate,muni_mc_current_taxable_eav,muni_mc_av,muni_mc_eav,muni_mc_equalized_av,muni_mc_pins_in_muni,muni_mc_all_exemptions,muni_mc_exe_homeowner,muni_mc_exe_senior,muni_mc_exe_freeze,muni_mc_exe_longtime_homeowner,muni_mc_exe_disabled,muni_mc_exe_vet_returning,muni_mc_exe_vet_dis_lt50,muni_mc_exe_vet_dis_50_69,muni_mc_exe_vet_dis_ge70,muni_mc_exe_abate,muni_mc_exe_vet_dis,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_tax_amt_exe,muni_mc_tax_amt_pre_exe,muni_mc_tax_amt_post_exe,muni_mc_rpm_tif_to_cps,muni_mc_rpm_tif_to_rpm,muni_mc_rpm_tif_to_dist,muni_mc_tif_share,muni_mc_zero_bills,muni_mc_has_HO_exemp,muni_mc_has_SF_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_bill_current
2016,Berkeley,5A,14.573351851851852,8738349.165968833,3133295,8783251,8783251,54,0,0,0,0,0,0,0,0,0,0,0,0,1273470.3699999999,0,0,1273470.3699999999,1273470.3699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1273470.3699999999
2016,Berkeley,5B,14.552296296296296,18639238.40452824,6660843,18671674,18671674,27,0,0,0,0,0,0,0,0,0,0,0,0,2712437.2,0,0,2712437.2,2712437.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2712437.2
2016,Berkeley,6B,14.534749999999999,3438890.5209927936,1215138,3406275,3406275,4,0,0,0,0,0,0,0,0,0,0,0,0,499834.14,0,0,499834.14,499834.14,0,0,0,0,0,0,0,0,0,0,0,0,0,499834.14
2016,Berkeley,9,14.44,154879.98614958447,55251,154880,154880,1,0,0,0,0,0,0,0,0,0,0,0,0,22364.67,0,0,22364.67,22364.67,0,0,0,0,0,0,0,0,0,0,0,0,0,22364.67
2016,Berwyn,0,15.356158227848102,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03476243614268671,316,0,0,0,0,0,0,0,0,0
2016,Berwyn,1,15.335033898305085,603943.562265202,222136,622694,622694,59,0,0,0,0,0,0,0,0,0,0,0,0,92614.95,2978.45,0,95593.4,95593.4,0,0,0,0.020299050119745764,0,0,0,0,0,0,0,0,0,95593.4
2016,Berwyn,2,15.322516567544605,450298722.9666061,195479490,547968095,547968095,14124,95745819,74192833,11357577,9727538,13958,393200,0,20000,40713,0,0,60713,68997096.43,299153.3,14680742.074736226,83976989.67,69296249.73,0,0,0,0.004819718208115124,14,10712,2299,1377,1,197,0,17,0,69296249.73
2016,Berwyn,3,15.357893854748603,20504505.303807154,7658446,21468156,21468156,179,0,0,0,0,0,0,0,0,0,0,0,0,3149060.16,138676.3,0,3287736.46,3287736.46,0,0,0,0.031644084935039105,0,0,0,0,0,0,0,0,0,3287736.46
2016,Berwyn,4,15.17995238095238,500198.1435414504,220907,619249,619249,21,0,0,0,0,0,0,0,0,0,0,0,0,75929.84,18093.56,0,94023.40000000001,94023.40000000001,0,0,0,0.014696920535904762,0,0,0,0,0,0,0,0,0,94023.4
2016,Berwyn,5A,15.358971153846154,119208601.12700357,48189340,135084349,135084349,832,14000,14000,0,0,0,0,0,0,0,0,0,0,18309214.66,2467557.8,2139.1998766708048,20778911.65,20776772.46,0,0,0,0.12385037755373679,0,3,0,0,0,0,0,0,0,20776772.46
2016,Berwyn,5B,15.221869565217391,4013515.4054663912,1577721,4422670,4422670,46,0,0,0,0,0,0,0,0,0,0,0,0,610932.08,64476.66,0,675408.74,675408.74,0,0,0,0.12089844881567392,0,0,0,0,0,0,0,0,0,675408.74
2016,Berwyn,7A,15.089,1008355.9546689643,359716,1008356,1008356,7,0,0,0,0,0,0,0,0,0,0,0,0,152150.83000000002,0,0,152150.83000000002,152150.83000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,152150.83000000002
2016,Berwyn,9,15.320928571428572,3612227.336090222,1340828,3758609,3758609,28,0,0,0,0,0,0,0,0,0,0,0,0,553426.77,19720.11,0,573146.88,573146.88,0,0,0,0.03050342561825,0,0,0,0,0,0,0,0,0,573146.88
2016,Blue Island,0,16.498371631205675,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03228684890600851,705,0,0,0,0,0,0,0,0,0
2016,Blue Island,1,15.983968599033817,2486488.1180010824,954917,2676828,2676828,414,0,0,0,0,0,0,0,0,0,0,0,0,397439.48,39405.35,0,436844.83,436844.83,0,0,0,0.1204423112982029,0,0,0,0,0,0,0,0,0,436844.82999999996
2016,Blue Island,2,16.42383758169935,124043697.2702458,58224866,163215969,163215969,6120,34361595,26744104,3964323,3472102,0,149299,0,6767,25000,0,0,31767,20372735.37,819059.47,5638913.08558053,26830702.21,21191794.84,0,0,0,0.057026576500881374,58,4089,857,599,0,81,0,8,0,21191794.84
2016,Blue Island,3,16.927293103448278,10417903.968595909,4183680,11727689,11727689,116,0,0,0,0,0,0,0,0,0,0,1158153,0,1763469.14,16719.49,193399.94661852808,1973588.58,1780188.63,0,0,0,0.0198192202287931,0,0,0,0,0,0,0,0,1,1780188.63
2016,Blue Island,4,16.292,156732.0157132335,55912,156732,156732,5,0,0,0,0,0,0,0,0,0,0,0,0,25534.780000000002,0,0,25534.780000000002,25534.780000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,25534.780000000002
2016,Blue Island,5A,16.473348773841963,35363760.944893405,13930621,39050310,39050310,367,0,0,0,0,0,0,0,0,0,0,189471,0,5825595.68,569459.89,31222.588543925518,6426278.14,6395055.57,0,0,0,0.03383839715341689,0,0,0,0,0,0,0,0,3,6395055.569999999
2016,Blue Island,5B,16.43846551724138,20897333.613024957,8891186,24923771,24923771,174,14000,14000,0,0,0,0,0,0,0,0,124670,0,3435200.98,610581.94,22715.594836519023,4068498.48,4045782.92,0,0,0,0.10805002098217241,0,2,0,0,0,0,0,0,6,4045782.92
2016,Blue Island,6B,15.483,1484641.2194019246,685099,1920470,1920470,14,0,0,0,0,0,0,0,0,0,0,17898,0,229867,60817.229999999996,2581.2493181175396,293265.48,290684.23,0,0,0,0.2572591995575,0,0,0,0,0,0,0,0,1,290684.23
2016,Blue Island,8,17.74353846153846,3034982.7976381434,3251936,9115827,9115827,39,0,0,0,0,0,0,0,0,0,0,1316153,0,538513.34,817455.79,221956.0220202501,1577925.1600000001,1355969.1300000001,0,0,0,0.5319414182422564,0,0,0,0,0,0,0,0,2,1355969.13
2016,Blue Island,9,16.680793103448277,2412282.9622340784,859268,2408701,2408701,29,0,0,0,0,0,0,0,0,0,0,0,0,402387.93,0,0,402387.93,402387.93,0,0,0,0,0,0,0,0,0,0,0,0,0,402387.93
2016,Bridgeview,0,14.821019323671498,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06417533538122222,207,0,0,0,0,0,0,0,0,0
2016,Bridgeview,1,14.444348837209303,2088974.334534951,770187,2158983,2158983,129,0,0,0,0,0,0,0,0,0,0,0,0,301738.74,9459.7,0,311198.44,311198.44,0,0,0,0.012977653986015504,0,0,0,0,0,0,0,0,0,311198.44
2016,Bridgeview,2,14.577355729406351,143708095.95968553,66247333,185704488,185704488,4346,33583112,24984400,4458724,3867830,23158,224000,0,10000,15000,0,0,25000,20948840.36,1205732.96,4892414.830972599,27046986.15,22154573.32,0,0,0,0.06136424961861436,1,3509,904,504,1,114,0,7,0,22154573.32
