tax_code_num,class_code,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10101,100,11157,33501,0,0,0,0,0,0,0,0,2
10101,203,74863,224791,0,0,0,0,0,0,0,0,3
10101,205,99876,299898,20000,8000,0,0,0,0,0,0,3
10101,206,45600,136923,10000,0,0,0,0,0,0,0,1
10101,212,128838,386862,20000,8000,0,0,0,0,0,0,4
10101,517,359996,1080960,0,0,0,0,0,0,0,0,5
10101,590,232558,698302,0,0,0,0,0,0,0,0,7
10101,592,1021619,3067616,0,0,0,0,0,0,0,0,7
10104,100,1,3,0,0,0,0,0,0,0,0,1
10104,295,4792233,14389633,770000,328000,18242,0,2000,0,0,0,103
10106,517,1513342,4544112,0,0,0,0,0,0,0,0,1
10107,0,0,0,0,0,0,0,0,0,0,0,1
10107,100,14088,42302,0,0,0,0,0,0,0,0,3
10107,299,12426223,37312228,1770000,464000,6532,0,2000,0,0,0,208
10108,100,1,3,0,0,0,0,0,0,0,0,1
10109,0,0,0,0,0,0,0,0,0,0,0,7
10110,0,0,0,0,0,0,0,0,0,0,0,7
10110,100,3069521,9216851,0,0,0,0,0,0,0,0,33
10110,417,584107,1753898,0,0,0,0,0,0,0,0,1
10110,517,2211254,6639732,0,0,0,0,0,0,0,0,6
10110,529,2491524,7481299,0,0,0,0,0,0,0,0,2
10110,590,4222851,12679956,0,0,0,0,0,0,0,0,13
10110,591,14901578,44744968,0,0,0,0,0,0,0,0,2
10110,592,11936364,35841320,0,0,0,0,0,0,0,0,9
10110,593,4983855,14965021,0,0,0,0,0,0,0,0,4
10110,597,8560467,25704514,0,0,0,0,0,0,0,0,7
10110,599,1666149,5002945,0,0,0,0,0,0,0,0,5
10112,0,0,0,0,0,0,0,0,0,0,0,9
10113,100,29278,87913,0,0,0,0,0,0,0,0,2
10113,209,111236,334008,10000,0,0,0,0,0,0,0,1
10113,241,13274,39858,0,0,0,0,0,0,0,0,1
10114,100,36944,110931,0,0,0,0,0,0,0,0,15
10114,208,203313,610488,20000,8000,0,0,0,0,0,0,3
10114,209,1777007,5335818,110000,32000,0,0,0,0,0,0,14
10114,290,2649,7954,0,0,0,0,0,0,0,0,1
10115,100,3490,10479,0,0,0,0,0,0,0,0,1
10116,239,12087,36294,0,0,0,0,0,0,0,0,2
10118,239,248,745,0,0,0,0,0,0,0,0,1
10119,100,2,6,0,0,0,0,0,0,0,0,2
10120,517,301997,906806,0,0,0,0,0,0,0,0,2
10123,0,0,0,0,0,0,0,0,0,0,0,1
10124,0,0,0,0,0,0,0,0,0,0,0,4
10125,0,0,0,0,0,0,0,0,0,0,0,1
10126,0,0,0,0,0,0,0,0,0,0,0,2
10126,206,79303,238123,10000,8000,0,0,0,0,0,0,1
10127,100,9141,27448,0,0,0,0,0,0,0,0,2
10127,517,532442,1598764,0,0,0,0,0,0,0,0,1
10127,528,359100,1078270,0,0,0,0,0,0,0,0,1
10127,531,5516299,16563791,0,0,0,0,0,0,0,0,1
10127,590,163478,490875,0,0,0,0,0,0,0,0,1
10127,592,473570,1421989,0,0,0,0,0,0,0,0,1
10128,100,51126,153516,0,0,0,0,0,0,0,0,3
10128,517,1469015,4411011,0,0,0,0,0,0,0,0,4
10128,527,3125898,9386134,0,0,0,0,0,0,0,0,1
10128,590,29862,89667,0,0,0,0,0,0,0,0,1
10129,100,2848,8552,0,0,0,0,0,0,0,0,1
10130,0,0,0,0,0,0,0,0,0,0,0,1
10131,100,171955,516330,0,0,0,0,0,0,0,0,27
10131,208,1653210,4964092,230000,8000,0,0,0,0,0,0,23
10131,209,923749,2773742,80000,0,0,0,0,0,0,0,9
10131,241,17183,51595,0,0,0,0,0,0,0,0,7
10131,278,2141482,6430227,240000,24000,0,0,0,0,0,0,31
10132,0,0,0,0,0,0,0,0,0,0,0,13
10132,100,100657,302243,0,0,0,0,0,0,0,0,26
10132,208,1109809,3332424,140000,0,0,0,0,0,0,0,15
