keypin,pin,pins_per_keypin,needs_keypin
01352000331004,01352000331004,1,1
01352000341001,01352000341001,1,1
01352000341002,01352000341002,1,1
01352000341003,01352000341003,1,1
01352000341004,01352000341004,1,1
01352000351001,01352000351001,1,1
01352000351002,01352000351002,1,1
01352000361001,01352000361001,1,1
01352000361002,01352000361002,1,1
01352000361003,01352000361003,1,1
01352000371001,01352000371001,1,1
01352000371002,01352000371002,1,1
01352000371003,01352000371003,1,1
01352000371004,01352000371004,1,1
01352000371005,01352000371005,1,1
01354000170000,01354000170000,3,0
01354000190000,01354000190000,1,0
01354000170000,01354000240000,3,0
01354000170000,01354000250000,3,0
01354010120000,01354010120000,1,0
01354010130000,01354010130000,1,0
01354010140000,01354010140000,1,0
01354010190000,01354010190000,1,0
01354010220000,01354010220000,1,0
01361010080000,01361010080000,1,1
01361020080000,01361020080000,1,1
01361020090000,01361020090000,1,0
01361020100000,01361020100000,1,0
01361020110000,01361020110000,1,0
01361020120000,01361020120000,1,0
01362020020000,01362020020000,1,0
01363000030000,01363000030000,1,0
01363000040000,01363000040000,1,0
01363010150000,01363010150000,2,0
01363020010000,01363020010000,1,0
01364010050000,01364010050000,1,1
01364010060000,01364010060000,1,1
01364020100000,01364020100000,1,0
01364020110000,01364020110000,1,1
01364020120000,01364020120000,1,1
01364020130000,01364020130000,1,1
01364020160000,01364020160000,1,1
01364020180000,01364020180000,1,1
01364020220000,01364020220000,1,1
01363010150000,01364020240000,2,0
02013000150000,02013000150000,2,0
02013000160000,02013000160000,1,1
02013000180000,02013000180000,1,0
02013000190000,02013000190000,1,0
02013000200000,02013000200000,1,0
02013000210000,02013000210000,1,0
02013000220000,02013000220000,1,0
02013000260000,02013000260000,1,0
02013000270000,02013000270000,1,0
02013000280000,02013000280000,1,0
02013000290000,02013000290000,1,0
02013000300000,02013000300000,1,0
02013000310000,02013000310000,1,0
02013010030000,02013010030000,1,0
02013010060000,02013010060000,2,0
02013010060000,02013010070000,2,0
02013010080000,02013010080000,1,0
02013020090000,02013020090000,1,0
02013020180000,02013020180000,1,0
02013020190000,02013020190000,1,0
02013020800000,02013020800000,1,0
02013020810000,02013020810000,1,0
02013020840000,02013020840000,1,0
02013070110000,02013070110000,1,0
02013070120000,02013070120000,1,0
02013070140000,02013070140000,1,0
02013070150000,02013070150000,1,0
02013000150000,02013110010000,2,0
02014000200000,02014000200000,1,0
02014000230000,02014000230000,1,0
02014000270000,02014000270000,1,0
02014000660000,02014000660000,1,0
02014000970000,02014000970000,1,0
02014000980000,02014000980000,1,0
02014001040000,02014001040000,2,0
02014001050000,02014001050000,1,0
02014001040000,02014001060000,2,0
02014010080000,02014010080000,1,0
02014010140000,02014010140000,1,0
02014010150000,02014010150000,2,0
02014010190000,02014010190000,1,0
02014010200000,02014010200000,1,0
02014010210000,02014010210000,1,0
02014010220000,02014010220000,1,0
02014010150000,02014010240000,2,0
02021000160000,02021000160000,1,0
02021000170000,02021000170000,1,0
02021010020000,02021010020000,1,0
02021010030000,02021010030000,1,0
02021010040000,02021010040000,1,0
02021010050000,02021010050000,6,0
02021010110000,02021010110000,2,0
02021010110000,02021010120000,2,0
02021010050000,02021010130000,6,0
02021010050000,02021010140000,6,0
02021010180000,02021010180000,1,1
02021010050000,02021010190000,6,0
02021010050000,02021010200000,6,0
02021010050000,02021010210000,6,0
02021010220000,02021010220000,2,0
02021010220000,02021010230000,2,0
02021020110000,02021020110000,1,1
02021020140000,02021020140000,1,0
02021020150000,02021020150000,1,0
02021020190000,02021020190000,1,0
02021020200000,02021020200000,1,0
02021020230000,02021020230000,1,1
02021020280000,02021020270000,3,0
02021020280000,02021020280000,3,0
02021020280000,02021020290000,3,0
02021020350000,02021020350000,1,0
02021020360000,02021020360000,2,0
02021020360000,02021020370000,2,0
02021040020000,02021040020000,1,0
02021040030000,02021040030000,4,0
02021040030000,02021040040000,4,0
02022000060000,02022000060000,1,0
02022011580000,02022011580000,1,0
02022020020000,02022020020000,1,0
02022020030000,02022020030000,1,0
02021040030000,02022030160000,4,0
02022030620000,02022030620000,1,0
02022030660000,02022030660000,1,0
02022030670000,02022030670000,2,0
02022030670000,02022030680000,2,0
02022040060000,02022040060000,1,1
02022040080000,02022040080000,1,0
02022040120000,02022040120000,2,0
02022040130000,02022040130000,2,0
02021040030000,02023010060000,4,0
02023010070000,02023010070000,1,1
02024000070000,02024000070000,1,0
02024000200000,02024000200000,2,0
02024000200000,02024000270000,2,0
02024000280000,02024000280000,1,0
02022040120000,02024000760000,2,0
02022040130000,02024000770000,2,0
02024000780000,02024000780000,1,0
02024000790000,02024000790000,1,0
02024000840000,02024000840000,1,0
02024000880000,02024000880000,1,0
02024000900000,02024000900000,1,1
02024020080000,02024020080000,1,0
02024020140000,02024020140000,1,0
02024020150000,02024020150000,1,1
02024020160000,02024020160000,1,1
02024020170000,02024020170000,1,1
02024030010000,02024030010000,1,0
02024070090000,02024070090000,1,0
02024070100000,02024070100000,1,1
02024070110000,02024070110000,1,1
02024100100000,02024100100000,1,0
02024100110000,02024100110000,1,0
02024100120000,02024100120000,1,0
02024100200000,02024100200000,1,0
02024100210000,02024100210000,1,0
02024100240000,02024100240000,1,0
02024100250000,02024100250000,1,0
02024120110000,02024120110000,1,0
02024120120000,02024120120000,1,0
02031040020000,02031040020000,1,0
02053000020000,02053000020000,1,1
02063010030000,02063010030000,1,1
02063010040000,02063010040000,1,0
02063010050000,02063010050000,1,0
02064000110000,02064000110000,1,1
02064040120000,02064040120000,1,1
02072010020000,02072010020000,1,1
02081000010000,02081000010000,1,1
02081000020000,02081000020000,1,1
02081000130000,02081000130000,3,0
02081000130000,02081000300000,3,0
02081000130000,02081000310000,3,0
02081000390000,02081000390000,1,0
02081000400000,02081000400000,1,1
02082010030000,02082010030000,1,0
02082010040000,02082010040000,1,1
02082010060000,02082010060000,1,1
02082010070000,02082010070000,1,1
02082010080000,02082010080000,1,1
02082010100000,02082010100000,1,0
02082010110000,02082010110000,1,0
02084060040000,02084060030000,2,0
02084060040000,02084060040000,2,0
02091070030000,02091070030000,1,1
02092030030000,02092030030000,1,0
02092030090000,02092030090000,1,0
02093150070000,02093150070000,1,0
02093150090000,02093150090000,1,1
02093150120000,02093150120000,1,1
02094020270000,02094020270000,1,0
02094020410000,02094020410000,1,0
02094020460000,02094020460000,1,1
02094020470000,02094020470000,1,0
02094050110000,02094050110000,1,1
02094050120000,02094050120000,1,1
02094050160000,02094050160000,1,0
02094080050000,02094080050000,1,0
02094080150000,02094080150000,1,0
02094080160000,02094080160000,1,0
02094080170000,02094080170000,1,0
02101000290000,02101000290000,1,0
02101020090000,02101020090000,1,1
02101020510000,02101020510000,1,0
02101020520000,02101020520000,1,1
02102020010000,02102020010000,1,0
02103060200000,02103060200000,1,0
02103060210000,02103060210000,1,0
02103060220000,02103060220000,1,0
02111010150000,02111010150000,1,0
02111020170000,02111020170000,1,0
02111020180000,02111020180000,1,0
02111080390000,02111080390000,1,1
02112000070000,02112000070000,1,0
02112000170000,02112000170000,2,0
02112000170000,02112000180000,2,0
02112090050000,02112090050000,1,0
02112090080000,02112090060000,6,0
02112090070000,02112090070000,1,0
02112090080000,02112090080000,6,0
02112090080000,02112090090000,6,0
02112090100000,02112090100000,1,0
02112090080000,02112090110000,6,0
02112090080000,02112090130000,6,0
02112090080000,02112090140000,6,0
02121000310000,02121000310000,3,0
02121000320000,02121000320000,1,0
02121000340000,02121000340000,1,0
02121000310000,02121000730000,3,0
02121000810000,02121000810000,1,0
02121001120000,02121001120000,1,0
02121000310000,02121001130000,3,0
02121001150000,02121001150000,2,0
02121001150000,02121001160000,2,0
